,Year,GP,Driver,Team,Points
0,2013,0,Sebastian Vettel,Red Bull,25.0
1,2013,0,Mark Webber,Red Bull,18.0
2,2013,0,Lewis Hamilton,Mercedes,15.0
3,2013,0,Nico Rosberg,Mercedes,12.0
4,2013,0,Felipe Massa,Ferrari,10.0
5,2013,0,Romain Grosjean,Lotus F1,8.0
6,2013,0,Kimi Räikkönen,Lotus F1,6.0
7,2013,0,Nico Hülkenberg,Sauber,4.0
8,2013,0,Sergio Pérez,McLaren,2.0
9,2013,0,Jean-Éric Vergne,Toro Rosso,1.0
10,2013,0,Valtteri Bottas,Williams,0.0
11,2013,0,Esteban Gutiérrez,Sauber,0.0
12,2013,0,Jules Bianchi,Marussia,0.0
13,2013,0,Charles Pic,Caterham,0.0
14,2013,0,Giedo van der Garde,Caterham,0.0
15,2013,0,Max Chilton,Marussia,0.0
16,2013,0,Jenson Button,McLaren,0.0
17,2013,0,Daniel Ricciardo,Toro Rosso,0.0
18,2013,0,Pastor Maldonado,Williams,0.0
19,2013,0,Adrian Sutil,Force India,0.0
20,2013,0,Paul di Resta,Force India,0.0
21,2013,0,Fernando Alonso,Ferrari,0.0
22,2013,1,Fernando Alonso,Ferrari,25.0
23,2013,1,Kimi Räikkönen,Lotus F1,18.0
24,2013,1,Lewis Hamilton,Mercedes,15.0
25,2013,1,Sebastian Vettel,Red Bull,12.0
26,2013,1,Jenson Button,McLaren,10.0
27,2013,1,Felipe Massa,Ferrari,8.0
28,2013,1,Daniel Ricciardo,Toro Rosso,6.0
29,2013,1,Paul di Resta,Force India,4.0
30,2013,1,Romain Grosjean,Lotus F1,2.0
31,2013,1,Nico Hülkenberg,Sauber,1.0
32,2013,1,Sergio Pérez,McLaren,0.0
33,2013,1,Jean-Éric Vergne,Toro Rosso,0.0
34,2013,1,Valtteri Bottas,Williams,0.0
35,2013,1,Pastor Maldonado,Williams,0.0
36,2013,1,Jules Bianchi,Marussia,0.0
37,2013,1,Charles Pic,Caterham,0.0
38,2013,1,Max Chilton,Marussia,0.0
39,2013,1,Giedo van der Garde,Caterham,0.0
40,2013,1,Nico Rosberg,Mercedes,0.0
41,2013,1,Mark Webber,Red Bull,0.0
42,2013,1,Adrian Sutil,Force India,0.0
43,2013,1,Esteban Gutiérrez,Sauber,0.0
44,2013,2,Sebastian Vettel,Red Bull,25.0
45,2013,2,Kimi Räikkönen,Lotus F1,18.0
46,2013,2,Romain Grosjean,Lotus F1,15.0
47,2013,2,Paul di Resta,Force India,12.0
48,2013,2,Lewis Hamilton,Mercedes,10.0
49,2013,2,Sergio Pérez,McLaren,8.0
50,2013,2,Mark Webber,Red Bull,6.0
51,2013,2,Fernando Alonso,Ferrari,4.0
52,2013,2,Nico Rosberg,Mercedes,2.0
53,2013,2,Jenson Button,McLaren,1.0
54,2013,2,Pastor Maldonado,Williams,0.0
55,2013,2,Nico Hülkenberg,Sauber,0.0
56,2013,2,Adrian Sutil,Force India,0.0
57,2013,2,Valtteri Bottas,Williams,0.0
58,2013,2,Felipe Massa,Ferrari,0.0
59,2013,2,Daniel Ricciardo,Toro Rosso,0.0
60,2013,2,Charles Pic,Caterham,0.0
61,2013,2,Esteban Gutiérrez,Sauber,0.0
62,2013,2,Jules Bianchi,Marussia,0.0
63,2013,2,Max Chilton,Marussia,0.0
64,2013,2,Giedo van der Garde,Caterham,0.0
65,2013,2,Jean-Éric Vergne,Toro Rosso,0.0
66,2013,3,Fernando Alonso,Ferrari,25.0
67,2013,3,Kimi Räikkönen,Lotus F1,18.0
68,2013,3,Felipe Massa,Ferrari,15.0
69,2013,3,Sebastian Vettel,Red Bull,12.0
70,2013,3,Mark Webber,Red Bull,10.0
71,2013,3,Nico Rosberg,Mercedes,8.0
72,2013,3,Paul di Resta,Force India,6.0
73,2013,3,Jenson Button,McLaren,4.0
74,2013,3,Sergio Pérez,McLaren,2.0
75,2013,3,Daniel Ricciardo,Toro Rosso,1.0
76,2013,3,Esteban Gutiérrez,Sauber,0.0
77,2013,3,Lewis Hamilton,Mercedes,0.0
78,2013,3,Adrian Sutil,Force India,0.0
79,2013,3,Pastor Maldonado,Williams,0.0
80,2013,3,Nico Hülkenberg,Sauber,0.0
81,2013,3,Valtteri Bottas,Williams,0.0
82,2013,3,Charles Pic,Caterham,0.0
83,2013,3,Jules Bianchi,Marussia,0.0
84,2013,3,Max Chilton,Marussia,0.0
85,2013,3,Jean-Éric Vergne,Toro Rosso,0.0
86,2013,3,Giedo van der Garde,Caterham,0.0
87,2013,3,Romain Grosjean,Lotus F1,0.0
88,2013,4,Nico Rosberg,Mercedes,25.0
89,2013,4,Sebastian Vettel,Red Bull,18.0
90,2013,4,Mark Webber,Red Bull,15.0
91,2013,4,Lewis Hamilton,Mercedes,12.0
92,2013,4,Adrian Sutil,Force India,10.0
93,2013,4,Jenson Button,McLaren,8.0
94,2013,4,Fernando Alonso,Ferrari,6.0
95,2013,4,Jean-Éric Vergne,Toro Rosso,4.0
96,2013,4,Paul di Resta,Force India,2.0
97,2013,4,Kimi Räikkönen,Lotus F1,1.0
98,2013,4,Nico Hülkenberg,Sauber,0.0
99,2013,4,Valtteri Bottas,Williams,0.0
100,2013,4,Esteban Gutiérrez,Sauber,0.0
101,2013,4,Max Chilton,Marussia,0.0
102,2013,4,Giedo van der Garde,Caterham,0.0
103,2013,4,Sergio Pérez,McLaren,0.0
104,2013,4,Romain Grosjean,Lotus F1,0.0
105,2013,4,Daniel Ricciardo,Toro Rosso,0.0
106,2013,4,Jules Bianchi,Marussia,0.0
107,2013,4,Pastor Maldonado,Williams,0.0
108,2013,4,Felipe Massa,Ferrari,0.0
109,2013,4,Charles Pic,Caterham,0.0
110,2013,5,Sebastian Vettel,Red Bull,25.0
111,2013,5,Fernando Alonso,Ferrari,18.0
112,2013,5,Lewis Hamilton,Mercedes,15.0
113,2013,5,Mark Webber,Red Bull,12.0
114,2013,5,Nico Rosberg,Mercedes,10.0
115,2013,5,Jean-Éric Vergne,Toro Rosso,8.0
116,2013,5,Paul di Resta,Force India,6.0
117,2013,5,Felipe Massa,Ferrari,4.0
118,2013,5,Kimi Räikkönen,Lotus F1,2.0
119,2013,5,Adrian Sutil,Force India,1.0
120,2013,5,Sergio Pérez,McLaren,0.0
121,2013,5,Jenson Button,McLaren,0.0
122,2013,5,Romain Grosjean,Lotus F1,0.0
123,2013,5,Valtteri Bottas,Williams,0.0
124,2013,5,Daniel Ricciardo,Toro Rosso,0.0
125,2013,5,Pastor Maldonado,Williams,0.0
126,2013,5,Jules Bianchi,Marussia,0.0
127,2013,5,Charles Pic,Caterham,0.0
128,2013,5,Max Chilton,Marussia,0.0
129,2013,5,Esteban Gutiérrez,Sauber,0.0
130,2013,5,Nico Hülkenberg,Sauber,0.0
131,2013,5,Giedo van der Garde,Caterham,0.0
132,2013,6,Nico Rosberg,Mercedes,25.0
133,2013,6,Mark Webber,Red Bull,18.0
134,2013,6,Fernando Alonso,Ferrari,15.0
135,2013,6,Lewis Hamilton,Mercedes,12.0
136,2013,6,Kimi Räikkönen,Lotus F1,10.0
137,2013,6,Felipe Massa,Ferrari,8.0
138,2013,6,Adrian Sutil,Force India,6.0
139,2013,6,Daniel Ricciardo,Toro Rosso,4.0
140,2013,6,Paul di Resta,Force India,2.0
141,2013,6,Nico Hülkenberg,Sauber,1.0
142,2013,6,Pastor Maldonado,Williams,0.0
143,2013,6,Valtteri Bottas,Williams,0.0
144,2013,6,Jenson Button,McLaren,0.0
145,2013,6,Esteban Gutiérrez,Sauber,0.0
146,2013,6,Charles Pic,Caterham,0.0
147,2013,6,Jules Bianchi,Marussia,0.0
