,Year,GP,Driver,Team,Points
0,2015,0,Sebastian Vettel,Ferrari,25.0
1,2015,0,Lewis Hamilton,Mercedes,18.0
2,2015,0,Nico Rosberg,Mercedes,15.0
3,2015,0,Kimi Räikkönen,Ferrari,12.0
4,2015,0,Valtteri Bottas,Williams,10.0
5,2015,0,Felipe Massa,Williams,8.0
6,2015,0,Max Verstappen,Toro Rosso,6.0
7,2015,0,Carlos Sainz,Toro Rosso,4.0
8,2015,0,Daniil Kvyat,Red Bull,2.0
9,2015,0,Daniel Ricciardo,Red Bull,1.0
10,2015,0,Romain Grosjean,Lotus F1,0.0
11,2015,0,Felipe Nasr,Sauber,0.0
12,2015,0,Sergio Pérez,Force India,0.0
13,2015,0,Nico Hülkenberg,Force India,0.0
14,2015,0,Roberto Merhi,Manor Marussia,0.0
15,2015,0,Pastor Maldonado,Lotus F1,0.0
16,2015,0,Jenson Button,McLaren,0.0
17,2015,0,Fernando Alonso,McLaren,0.0
18,2015,0,Marcus Ericsson,Sauber,0.0
19,2015,0,Will Stevens,Manor Marussia,0.0
20,2015,1,Lewis Hamilton,Mercedes,25.0
21,2015,1,Nico Rosberg,Mercedes,18.0
22,2015,1,Sebastian Vettel,Ferrari,15.0
23,2015,1,Kimi Räikkönen,Ferrari,12.0
24,2015,1,Felipe Massa,Williams,10.0
25,2015,1,Valtteri Bottas,Williams,8.0
26,2015,1,Romain Grosjean,Lotus F1,6.0
27,2015,1,Felipe Nasr,Sauber,4.0
28,2015,1,Daniel Ricciardo,Red Bull,2.0
29,2015,1,Marcus Ericsson,Sauber,1.0
30,2015,1,Sergio Pérez,Force India,0.0
31,2015,1,Fernando Alonso,McLaren,0.0
32,2015,1,Carlos Sainz,Toro Rosso,0.0
33,2015,1,Jenson Button,McLaren,0.0
34,2015,1,Will Stevens,Manor Marussia,0.0
35,2015,1,Roberto Merhi,Manor Marussia,0.0
36,2015,1,Max Verstappen,Toro Rosso,0.0
37,2015,1,Pastor Maldonado,Lotus F1,0.0
38,2015,1,Daniil Kvyat,Red Bull,0.0
39,2015,1,Nico Hülkenberg,Force India,0.0
40,2015,2,Lewis Hamilton,Mercedes,25.0
41,2015,2,Kimi Räikkönen,Ferrari,18.0
42,2015,2,Nico Rosberg,Mercedes,15.0
43,2015,2,Valtteri Bottas,Williams,12.0
44,2015,2,Sebastian Vettel,Ferrari,10.0
45,2015,2,Daniel Ricciardo,Red Bull,8.0
46,2015,2,Romain Grosjean,Lotus F1,6.0
47,2015,2,Sergio Pérez,Force India,4.0
48,2015,2,Daniil Kvyat,Red Bull,2.0
49,2015,2,Felipe Massa,Williams,1.0
50,2015,2,Fernando Alonso,McLaren,0.0
51,2015,2,Felipe Nasr,Sauber,0.0
52,2015,2,Nico Hülkenberg,Force India,0.0
53,2015,2,Marcus Ericsson,Sauber,0.0
54,2015,2,Pastor Maldonado,Lotus F1,0.0
55,2015,2,Will Stevens,Manor Marussia,0.0
56,2015,2,Roberto Merhi,Manor Marussia,0.0
57,2015,2,Max Verstappen,Toro Rosso,0.0
58,2015,2,Carlos Sainz,Toro Rosso,0.0
59,2015,2,Jenson Button,McLaren,0.0
60,2015,3,Nico Rosberg,Mercedes,25.0
61,2015,3,Lewis Hamilton,Mercedes,18.0
62,2015,3,Sebastian Vettel,Ferrari,15.0
63,2015,3,Valtteri Bottas,Williams,12.0
64,2015,3,Kimi Räikkönen,Ferrari,10.0
65,2015,3,Felipe Massa,Williams,8.0
66,2015,3,Daniel Ricciardo,Red Bull,6.0
67,2015,3,Romain Grosjean,Lotus F1,4.0
68,2015,3,Carlos Sainz,Toro Rosso,2.0
69,2015,3,Daniil Kvyat,Red Bull,1.0
70,2015,3,Max Verstappen,Toro Rosso,0.0
71,2015,3,Felipe Nasr,Sauber,0.0
72,2015,3,Sergio Pérez,Force India,0.0
73,2015,3,Marcus Ericsson,Sauber,0.0
74,2015,3,Nico Hülkenberg,Force India,0.0
75,2015,3,Jenson Button,McLaren,0.0
76,2015,3,Will Stevens,Manor Marussia,0.0
77,2015,3,Roberto Merhi,Manor Marussia,0.0
78,2015,3,Pastor Maldonado,Lotus F1,0.0
79,2015,3,Fernando Alonso,McLaren,0.0
80,2015,4,Nico Rosberg,Mercedes,25.0
81,2015,4,Sebastian Vettel,Ferrari,18.0
82,2015,4,Lewis Hamilton,Mercedes,15.0
83,2015,4,Daniil Kvyat,Red Bull,12.0
84,2015,4,Daniel Ricciardo,Red Bull,10.0
85,2015,4,Kimi Räikkönen,Ferrari,8.0
86,2015,4,Sergio Pérez,Force India,6.0
87,2015,4,Jenson Button,McLaren,4.0
88,2015,4,Felipe Nasr,Sauber,2.0
89,2015,4,Carlos Sainz,Toro Rosso,1.0
90,2015,4,Nico Hülkenberg,Force India,0.0
91,2015,4,Romain Grosjean,Lotus F1,0.0
92,2015,4,Marcus Ericsson,Sauber,0.0
93,2015,4,Valtteri Bottas,Williams,0.0
94,2015,4,Felipe Massa,Williams,0.0
95,2015,4,Roberto Merhi,Manor Marussia,0.0
96,2015,4,Will Stevens,Manor Marussia,0.0
97,2015,4,Max Verstappen,Toro Rosso,0.0
98,2015,4,Fernando Alonso,McLaren,0.0
99,2015,4,Pastor Maldonado,Lotus F1,0.0
100,2015,5,Lewis Hamilton,Mercedes,25.0
101,2015,5,Nico Rosberg,Mercedes,18.0
102,2015,5,Valtteri Bottas,Williams,15.0
103,2015,5,Kimi Räikkönen,Ferrari,12.0
104,2015,5,Sebastian Vettel,Ferrari,10.0
105,2015,5,Felipe Massa,Williams,8.0
106,2015,5,Pastor Maldonado,Lotus F1,6.0
107,2015,5,Nico Hülkenberg,Force India,4.0
108,2015,5,Daniil Kvyat,Red Bull,2.0
109,2015,5,Romain Grosjean,Lotus F1,1.0
110,2015,5,Sergio Pérez,Force India,0.0
111,2015,5,Carlos Sainz,Toro Rosso,0.0
112,2015,5,Daniel Ricciardo,Red Bull,0.0
113,2015,5,Marcus Ericsson,Sauber,0.0
114,2015,5,Max Verstappen,Toro Rosso,0.0
115,2015,5,Felipe Nasr,Sauber,0.0
116,2015,5,Will Stevens,Manor Marussia,0.0
117,2015,5,Roberto Merhi,Manor Marussia,0.0
118,2015,5,Jenson Button,McLaren,0.0
119,2015,5,Fernando Alonso,McLaren,0.0
120,2015,6,Nico Rosberg,Mercedes,25.0
121,2015,6,Lewis Hamilton,Mercedes,18.0
122,2015,6,Felipe Massa,Williams,15.0
123,2015,6,Sebastian Vettel,Ferrari,12.0
124,2015,6,Valtteri Bottas,Williams,10.0
125,2015,6,Nico Hülkenberg,Force India,8.0
126,2015,6,Pastor Maldonado,Lotus F1,6.0
127,2015,6,Max Verstappen,Toro Rosso,4.0
128,2015,6,Sergio Pérez,Force India,2.0
129,2015,6,Daniel Ricciardo,Red Bull,1.0
130,2015,6,Felipe Nasr,Sauber,0.0
131,2015,6,Daniil Kvyat,Red Bull,0.0
132,2015,6,Marcus Ericsson,Sauber,0.0
133,2015,6,Roberto Merhi,Manor Marussia,0.0
134,2015,6,Romain Grosjean,Lotus F1,0.0
135,2015,6,Carlos Sainz,Toro Rosso,0.0
136,2015,6,Jenson Button,McLaren,0.0
137,2015,6,Will Stevens,Manor Marussia,0.0
138,2015,6,Kimi Räikkönen,Ferrari,0.0
139,2015,6,Fernando Alonso,McLaren,0.0
140,2015,7,Lewis Hamilton,Mercedes,25.0
141,2015,7,Nico Rosberg,Mercedes,18.0
142,2015,7,Sebastian Vettel,Ferrari,15.0
143,2015,7,Felipe Massa,Williams,12.0
144,2015,7,Valtteri Bottas,Williams,10.0
145,2015,7,Daniil Kvyat,Red Bull,8.0
146,2015,7,Nico Hülkenberg,Force India,6.0
147,2015,7,Kimi Räikkönen,Ferrari,4.0
148,2015,7,Sergio Pérez,Force India,2.0
149,2015,7,Fernando Alonso,McLaren,1.0
150,2015,7,Marcus Ericsson,Sauber,0.0
151,2015,7,Roberto Merhi,Manor Marussia,0.0
152,2015,7,Will Stevens,Manor Marussia,0.0
153,2015,7,Carlos Sainz,Toro Rosso,0.0
154,2015,7,Daniel Ricciardo,Red Bull,0.0
155,2015,7,Max Verstappen,Toro Rosso,0.0
156,2015,7,Romain Grosjean,Lotus F1,0.0
157,2015,7,Pastor Maldonado,Lotus F1,0.0
158,2015,7,Jenson Button,McLaren,0.0
159,2015,7,Felipe Nasr,Sauber,0.0
160,2015,8,Sebastian Vettel,Ferrari,25.0
161,2015,8,Daniil Kvyat,Red Bull,18.0
162,2015,8,Daniel Ricciardo,Red Bull,15.0
163,2015,8,Max Verstappen,Toro Rosso,12.0
164,2015,8,Fernando Alonso,McLaren,10.0
165,2015,8,Lewis Hamilton,Mercedes,8.0
166,2015,8,Romain Grosjean,Lotus F1,6.0
167,2015,8,Nico Rosberg,Mercedes,4.0
168,2015,8,Jenson Button,McLaren,2.0
169,2015,8,Marcus Ericsson,Sauber,1.0
170,2015,8,Felipe Nasr,Sauber,0.0
171,2015,8,Felipe Massa,Williams,0.0
172,2015,8,Valtteri Bottas,Williams,0.0
173,2015,8,Pastor Maldonado,Lotus F1,0.0
174,2015,8,Roberto Merhi,Manor Marussia,0.0
175,2015,8,Will Stevens,Manor Marussia,0.0
176,2015,8,Carlos Sainz,Toro Rosso,0.0
177,2015,8,Kimi Räikkönen,Ferrari,0.0
178,2015,8,Sergio Pérez,Force India,0.0
179,2015,8,Nico Hülkenberg,Force India,0.0
180,2015,9,Lewis Hamilton,Mercedes,25.0
181,2015,9,Nico Rosberg,Mercedes,18.0
182,2015,9,Romain Grosjean,Lotus F1,15.0
183,2015,9,Daniil Kvyat,Red Bull,12.0
184,2015,9,Sergio Pérez,Force India,10.0
185,2015,9,Felipe Massa,Williams,8.0
186,2015,9,Kimi Räikkönen,Ferrari,6.0
187,2015,9,Max Verstappen,Toro Rosso,4.0
188,2015,9,Valtteri Bottas,Williams,2.0
189,2015,9,Marcus Ericsson,Sauber,1.0
190,2015,9,Felipe Nasr,Sauber,0.0
191,2015,9,Sebastian Vettel,Ferrari,0.0
192,2015,9,Fernando Alonso,McLaren,0.0
193,2015,9,Jenson Button,McLaren,0.0
194,2015,9,Roberto Merhi,Manor Marussia,0.0
195,2015,9,Will Stevens,Manor Marussia,0.0
196,2015,9,Carlos Sainz,Toro Rosso,0.0
197,2015,9,Daniel Ricciardo,Red Bull,0.0
198,2015,9,Pastor Maldonado,Lotus F1,0.0
199,2015,9,Nico Hülkenberg,Force India,0.0
200,2015,10,Lewis Hamilton,Mercedes,25.0
201,2015,10,Sebastian Vettel,Ferrari,18.0
202,2015,10,Felipe Massa,Williams,15.0
203,2015,10,Valtteri Bottas,Williams,12.0
204,2015,10,Kimi Räikkönen,Ferrari,10.0
205,2015,10,Sergio Pérez,Force India,8.0
206,2015,10,Nico Hülkenberg,Force India,6.0
207,2015,10,Daniel Ricciardo,Red Bull,4.0
208,2015,10,Marcus Ericsson,Sauber,2.0
209,2015,10,Daniil Kvyat,Red Bull,1.0
210,2015,10,Carlos Sainz,Toro Rosso,0.0
211,2015,10,Max Verstappen,Toro Rosso,0.0
212,2015,10,Felipe Nasr,Sauber,0.0
213,2015,10,Jenson Button,McLaren,0.0
214,2015,10,Will Stevens,Manor Marussia,0.0
215,2015,10,Roberto Merhi,Manor Marussia,0.0
216,2015,10,Nico Rosberg,Mercedes,0.0
217,2015,10,Fernando Alonso,McLaren,0.0
218,2015,10,Romain Grosjean,Lotus F1,0.0
219,2015,10,Pastor Maldonado,Lotus F1,0.0
220,2015,11,Sebastian Vettel,Ferrari,25.0
221,2015,11,Daniel Ricciardo,Red Bull,18.0
222,2015,11,Kimi Räikkönen,Ferrari,15.0
223,2015,11,Nico Rosberg,Mercedes,12.0
224,2015,11,Valtteri Bottas,Williams,10.0
225,2015,11,Daniil Kvyat,Red Bull,8.0
226,2015,11,Sergio Pérez,Force India,6.0
227,2015,11,Max Verstappen,Toro Rosso,4.0
228,2015,11,Carlos Sainz,Toro Rosso,2.0
229,2015,11,Felipe Nasr,Sauber,1.0
230,2015,11,Marcus Ericsson,Sauber,0.0
231,2015,11,Pastor Maldonado,Lotus F1,0.0
232,2015,11,Romain Grosjean,Lotus F1,0.0
233,2015,11,Alexander Rossi,Manor Marussia,0.0
234,2015,11,Will Stevens,Manor Marussia,0.0
235,2015,11,Jenson Button,McLaren,0.0
236,2015,11,Fernando Alonso,McLaren,0.0
237,2015,11,Lewis Hamilton,Mercedes,0.0
238,2015,11,Felipe Massa,Williams,0.0
239,2015,11,Nico Hülkenberg,Force India,0.0
240,2015,12,Lewis Hamilton,Mercedes,25.0
241,2015,12,Nico Rosberg,Mercedes,18.0
242,2015,12,Sebastian Vettel,Ferrari,15.0
243,2015,12,Kimi Räikkönen,Ferrari,12.0
244,2015,12,Valtteri Bottas,Williams,10.0
245,2015,12,Nico Hülkenberg,Force India,8.0
246,2015,12,Romain Grosjean,Lotus F1,6.0
247,2015,12,Pastor Maldonado,Lotus F1,4.0
248,2015,12,Max Verstappen,Toro Rosso,2.0
249,2015,12,Carlos Sainz,Toro Rosso,1.0
250,2015,12,Fernando Alonso,McLaren,0.0
251,2015,12,Sergio Pérez,Force India,0.0
252,2015,12,Daniil Kvyat,Red Bull,0.0
253,2015,12,Marcus Ericsson,Sauber,0.0
254,2015,12,Daniel Ricciardo,Red Bull,0.0
255,2015,12,Jenson Button,McLaren,0.0
256,2015,12,Felipe Massa,Williams,0.0
257,2015,12,Alexander Rossi,Manor Marussia,0.0
258,2015,12,Will Stevens,Manor Marussia,0.0
259,2015,12,Felipe Nasr,Sauber,0.0
260,2015,13,Lewis Hamilton,Mercedes,25.0
261,2015,13,Sebastian Vettel,Ferrari,18.0
262,2015,13,Sergio Pérez,Force India,15.0
263,2015,13,Felipe Massa,Williams,12.0
264,2015,13,Daniil Kvyat,Red Bull,10.0
265,2015,13,Felipe Nasr,Sauber,8.0
266,2015,13,Pastor Maldonado,Lotus F1,6.0
267,2015,13,Kimi Räikkönen,Ferrari,4.0
268,2015,13,Jenson Button,McLaren,2.0
269,2015,13,Max Verstappen,Toro Rosso,1.0
270,2015,13,Fernando Alonso,McLaren,0.0
271,2015,13,Valtteri Bottas,Williams,0.0
272,2015,13,Roberto Merhi,Manor Marussia,0.0
273,2015,13,Will Stevens,Manor Marussia,0.0
274,2015,13,Daniel Ricciardo,Red Bull,0.0
275,2015,13,Carlos Sainz,Toro Rosso,0.0
276,2015,13,Romain Grosjean,Lotus F1,0.0
277,2015,13,Nico Rosberg,Mercedes,0.0
278,2015,13,Nico Hülkenberg,Force India,0.0
279,2015,13,Marcus Ericsson,Sauber,0.0
280,2015,14,Lewis Hamilton,Mercedes,25.0
281,2015,14,Nico Rosberg,Mercedes,18.0
282,2015,14,Sebastian Vettel,Ferrari,15.0
283,2015,14,Max Verstappen,Toro Rosso,12.0
284,2015,14,Sergio Pérez,Force India,10.0
285,2015,14,Jenson Button,McLaren,8.0
286,2015,14,Carlos Sainz,Toro Rosso,6.0
287,2015,14,Pastor Maldonado,Lotus F1,4.0
288,2015,14,Felipe Nasr,Sauber,2.0
289,2015,14,Daniel Ricciardo,Red Bull,1.0
290,2015,14,Fernando Alonso,McLaren,0.0
291,2015,14,Alexander Rossi,Manor Marussia,0.0
292,2015,14,Daniil Kvyat,Red Bull,0.0
293,2015,14,Nico Hülkenberg,Force India,0.0
294,2015,14,Marcus Ericsson,Sauber,0.0
295,2015,14,Kimi Räikkönen,Ferrari,0.0
296,2015,14,Felipe Massa,Williams,0.0
297,2015,14,Romain Grosjean,Lotus F1,0.0
298,2015,14,Valtteri Bottas,Williams,0.0
299,2015,14,Will Stevens,Manor Marussia,0.0
300,2015,15,Nico Rosberg,Mercedes,25.0
301,2015,15,Lewis Hamilton,Mercedes,18.0
302,2015,15,Valtteri Bottas,Williams,15.0
303,2015,15,Daniil Kvyat,Red Bull,12.0
304,2015,15,Daniel Ricciardo,Red Bull,10.0
305,2015,15,Felipe Massa,Williams,8.0
306,2015,15,Nico Hülkenberg,Force India,6.0
307,2015,15,Sergio Pérez,Force India,4.0
308,2015,15,Max Verstappen,Toro Rosso,2.0
309,2015,15,Romain Grosjean,Lotus F1,1.0
310,2015,15,Pastor Maldonado,Lotus F1,0.0
311,2015,15,Marcus Ericsson,Sauber,0.0
312,2015,15,Carlos Sainz,Toro Rosso,0.0
313,2015,15,Jenson Button,McLaren,0.0
314,2015,15,Alexander Rossi,Manor Marussia,0.0
315,2015,15,Will Stevens,Manor Marussia,0.0
316,2015,15,Felipe Nasr,Sauber,0.0
317,2015,15,Sebastian Vettel,Ferrari,0.0
318,2015,15,Kimi Räikkönen,Ferrari,0.0
319,2015,15,Fernando Alonso,McLaren,0.0
320,2015,16,Nico Rosberg,Mercedes,25.0
321,2015,16,Lewis Hamilton,Mercedes,18.0
322,2015,16,Sebastian Vettel,Ferrari,15.0
323,2015,16,Kimi Räikkönen,Ferrari,12.0
324,2015,16,Valtteri Bottas,Williams,10.0
325,2015,16,Nico Hülkenberg,Force India,8.0
326,2015,16,Daniil Kvyat,Red Bull,6.0
327,2015,16,Romain Grosjean,Lotus F1,4.0
328,2015,16,Max Verstappen,Toro Rosso,2.0
329,2015,16,Pastor Maldonado,Lotus F1,1.0
330,2015,16,Daniel Ricciardo,Red Bull,0.0
331,2015,16,Sergio Pérez,Force India,0.0
332,2015,16,Felipe Nasr,Sauber,0.0
333,2015,16,Jenson Button,McLaren,0.0
334,2015,16,Fernando Alonso,McLaren,0.0
