,Year,GP,Driver,Team,Points
0,2005,0,Fernando Alonso,Renault,10.0
1,2005,0,Jarno Trulli,Toyota,8.0
2,2005,0,Nick Heidfeld,Williams,6.0
3,2005,0,Juan Pablo Montoya,McLaren,5.0
4,2005,0,Ralf Schumacher,Toyota,4.0
5,2005,0,David Coulthard,Red Bull,3.0
6,2005,0,Michael Schumacher,Ferrari,2.0
7,2005,0,Christian Klien,Red Bull,1.0
8,2005,0,Kimi Räikkönen,McLaren,0.0
9,2005,0,Felipe Massa,Sauber,0.0
10,2005,0,Narain Karthikeyan,Jordan,0.0
11,2005,0,Tiago Monteiro,Jordan,0.0
12,2005,0,Christijan Albers,Minardi,0.0
13,2005,0,Rubens Barrichello,Ferrari,0.0
14,2005,0,Giancarlo Fisichella,Renault,0.0
15,2005,0,Mark Webber,Williams,0.0
16,2005,0,Jacques Villeneuve,Sauber,0.0
17,2005,0,Jenson Button,BAR,0.0
18,2005,0,Anthony Davidson,BAR,0.0
19,2005,0,Patrick Friesacher,Minardi,0.0
20,2005,1,Fernando Alonso,Renault,10.0
21,2005,1,Jarno Trulli,Toyota,8.0
22,2005,1,Kimi Räikkönen,McLaren,6.0
23,2005,1,Ralf Schumacher,Toyota,5.0
24,2005,1,Pedro de la Rosa,McLaren,4.0
25,2005,1,Mark Webber,Williams,3.0
26,2005,1,Felipe Massa,Sauber,2.0
27,2005,1,David Coulthard,Red Bull,1.0
28,2005,1,Rubens Barrichello,Ferrari,0.0
29,2005,1,Tiago Monteiro,Jordan,0.0
30,2005,1,Jacques Villeneuve,Sauber,0.0
31,2005,1,Patrick Friesacher,Minardi,0.0
32,2005,1,Christijan Albers,Minardi,0.0
33,2005,1,Jenson Button,BAR,0.0
34,2005,1,Takuma Sato,BAR,0.0
35,2005,1,Nick Heidfeld,Williams,0.0
36,2005,1,Michael Schumacher,Ferrari,0.0
37,2005,1,Giancarlo Fisichella,Renault,0.0
38,2005,1,Narain Karthikeyan,Jordan,0.0
39,2005,1,Christian Klien,Red Bull,0.0
40,2005,2,Fernando Alonso,Renault,10.0
41,2005,2,Michael Schumacher,Ferrari,8.0
42,2005,2,Alexander Wurz,McLaren,6.0
43,2005,2,Jacques Villeneuve,Sauber,5.0
44,2005,2,Jarno Trulli,Toyota,4.0
45,2005,2,Nick Heidfeld,Williams,3.0
46,2005,2,Mark Webber,Williams,2.0
47,2005,2,Vitantonio Liuzzi,Red Bull,1.0
48,2005,2,Ralf Schumacher,Toyota,0.0
49,2005,2,Felipe Massa,Sauber,0.0
50,2005,2,David Coulthard,Red Bull,0.0
51,2005,2,Narain Karthikeyan,Jordan,0.0
52,2005,2,Tiago Monteiro,Jordan,0.0
