,Year,GP,Driver,Team,Points
0,1971,0,Jackie Stewart,Tyrrell,9.0
1,1971,0,Jacky Ickx,Ferrari,6.0
2,1971,0,Chris Amon,Matra,4.0
3,1971,0,Pedro Rodríguez,BRM,3.0
4,1971,0,Denny Hulme,McLaren,2.0
5,1971,0,Jean-Pierre Beltoise,Matra,1.0
6,1971,0,François Cevert,Tyrrell,0.0
7,1971,0,Peter Gethin,McLaren,0.0
8,1971,0,Tim Schenken,Brabham,0.0
9,1971,0,Howden Ganley,BRM,0.0
10,1971,0,John Surtees,Surtees,0.0
11,1971,0,Reine Wisell,Lotus-Ford,0.0
12,1971,0,Emerson Fittipaldi,Lotus-Ford,0.0
13,1971,0,Henri Pescarolo,March-Ford,0.0
14,1971,0,Mario Andretti,Ferrari,0.0
15,1971,0,Alex Soler-Roig,March-Ford,0.0
16,1971,0,Andrea de Adamich,March-Alfa Romeo,0.0
17,1971,0,Ronnie Peterson,March-Ford,0.0
18,1971,0,Clay Regazzoni,Ferrari,0.0
19,1971,0,Rolf Stommelen,Surtees,0.0
20,1971,0,Jo Siffert,BRM,0.0
21,1971,0,Graham Hill,Brabham,0.0
22,1971,1,Jackie Stewart,Tyrrell,9.0
23,1971,1,Ronnie Peterson,March-Ford,6.0
24,1971,1,Jacky Ickx,Ferrari,4.0
25,1971,1,Denny Hulme,McLaren,3.0
26,1971,1,Emerson Fittipaldi,Lotus-Ford,2.0
27,1971,1,Rolf Stommelen,Surtees,1.0
28,1971,1,John Surtees,Surtees,0.0
29,1971,1,Henri Pescarolo,March-Ford,0.0
30,1971,1,Pedro Rodríguez,BRM,0.0
31,1971,1,Tim Schenken,Brabham,0.0
32,1971,1,Jo Siffert,BRM,0.0
33,1971,1,Jean-Pierre Beltoise,Matra,0.0
34,1971,1,Chris Amon,Matra,0.0
35,1971,1,Clay Regazzoni,Ferrari,0.0
36,1971,1,Peter Gethin,McLaren,0.0
37,1971,1,Reine Wisell,Lotus-Ford,0.0
38,1971,1,François Cevert,Tyrrell,0.0
39,1971,1,Graham Hill,Brabham,0.0
