,Year,GP,Driver,Team,Points
0,2017,0,Lewis Hamilton,Mercedes,25.0
1,2017,0,Sebastian Vettel,Ferrari,18.0
2,2017,0,Max Verstappen,Red Bull,15.0
3,2017,0,Daniel Ricciardo,Red Bull,12.0
4,2017,0,Kimi Räikkönen,Ferrari,10.0
5,2017,0,Valtteri Bottas,Mercedes,8.0
6,2017,0,Carlos Sainz,Toro Rosso,6.0
7,2017,0,Kevin Magnussen,Haas F1 Team,4.0
8,2017,0,Sergio Pérez,Force India,2.0
9,2017,0,Esteban Ocon,Force India,1.0
10,2017,0,Romain Grosjean,Haas F1 Team,0.0
11,2017,0,Nico Hülkenberg,Renault,0.0
12,2017,0,Jolyon Palmer,Renault,0.0
13,2017,0,Felipe Massa,Williams,0.0
14,2017,0,Marcus Ericsson,Sauber,0.0
15,2017,0,Fernando Alonso,McLaren,0.0
16,2017,0,Daniil Kvyat,Toro Rosso,0.0
17,2017,0,Stoffel Vandoorne,McLaren,0.0
18,2017,0,Antonio Giovinazzi,Sauber,0.0
19,2017,0,Lance Stroll,Williams,0.0
20,2017,1,Sebastian Vettel,Ferrari,25.0
21,2017,1,Lewis Hamilton,Mercedes,18.0
22,2017,1,Valtteri Bottas,Mercedes,15.0
23,2017,1,Kimi Räikkönen,Ferrari,12.0
24,2017,1,Daniel Ricciardo,Red Bull,10.0
25,2017,1,Felipe Massa,Williams,8.0
26,2017,1,Sergio Pérez,Force India,6.0
27,2017,1,Romain Grosjean,Haas F1 Team,4.0
28,2017,1,Nico Hülkenberg,Renault,2.0
29,2017,1,Esteban Ocon,Force India,1.0
30,2017,1,Pascal Wehrlein,Sauber,0.0
31,2017,1,Daniil Kvyat,Toro Rosso,0.0
32,2017,1,Jolyon Palmer,Renault,0.0
33,2017,1,Fernando Alonso,McLaren,0.0
34,2017,1,Marcus Ericsson,Sauber,0.0
35,2017,1,Carlos Sainz,Toro Rosso,0.0
36,2017,1,Lance Stroll,Williams,0.0
37,2017,1,Max Verstappen,Red Bull,0.0
38,2017,1,Kevin Magnussen,Haas F1 Team,0.0
39,2017,1,Stoffel Vandoorne,McLaren,0.0
40,2017,2,Valtteri Bottas,Mercedes,25.0
41,2017,2,Sebastian Vettel,Ferrari,18.0
42,2017,2,Kimi Räikkönen,Ferrari,15.0
43,2017,2,Lewis Hamilton,Mercedes,12.0
44,2017,2,Max Verstappen,Red Bull,10.0
45,2017,2,Sergio Pérez,Force India,8.0
46,2017,2,Esteban Ocon,Force India,6.0
47,2017,2,Nico Hülkenberg,Renault,4.0
48,2017,2,Felipe Massa,Williams,2.0
49,2017,2,Carlos Sainz,Toro Rosso,1.0
50,2017,2,Lance Stroll,Williams,0.0
