,Year,GP,Driver,Team,Points
0,1965,0,Graham Hill,BRM,9.0
1,1965,0,Lorenzo Bandini,Ferrari,6.0
2,1965,0,Jackie Stewart,BRM,4.0
3,1965,0,John Surtees,Ferrari,3.0
4,1965,0,Bruce McLaren,Cooper-Climax,2.0
5,1965,0,Jo Siffert,Brabham-BRM,1.0
6,1965,0,Jo Bonnier,Brabham-Climax,0.0
7,1965,0,Denny Hulme,Brabham-Climax,0.0
8,1965,0,Bob Anderson,Brabham-Climax,0.0
9,1965,0,Paul Hawkins,Lotus-Climax,0.0
10,1965,0,Jack Brabham,Brabham-Climax,0.0
11,1965,0,Richard Attwood,Lotus-BRM,0.0
12,1965,0,Ronnie Bucknum,Honda,0.0
13,1965,0,Frank Gardner,Brabham-BRM,0.0
14,1965,0,Mike Hailwood,Lotus-BRM,0.0
15,1965,0,Richie Ginther,Honda,0.0
16,1965,0,Jochen Rindt,Cooper-Climax,0.0
17,1965,1,Jim Clark,Lotus-Climax,9.0
18,1965,1,Jackie Stewart,BRM,6.0
19,1965,1,Bruce McLaren,Cooper-Climax,4.0
20,1965,1,Jack Brabham,Brabham-Climax,3.0
21,1965,1,Graham Hill,BRM,2.0
22,1965,1,Richie Ginther,Honda,1.0
23,1965,1,Mike Spence,Lotus-Climax,0.0
24,1965,1,Jo Siffert,Brabham-BRM,0.0
25,1965,1,Lorenzo Bandini,Ferrari,0.0
26,1965,1,Dan Gurney,Brabham-Climax,0.0
27,1965,1,Jochen Rindt,Cooper-Climax,0.0
28,1965,1,Lucien Bianchi,BRM,0.0
29,1965,1,Innes Ireland,Lotus-BRM,0.0
30,1965,1,Richard Attwood,Lotus-BRM,0.0
31,1965,1,Masten Gregory,BRM,0.0
32,1965,1,Jo Bonnier,Brabham-Climax,0.0
33,1965,1,Ronnie Bucknum,Honda,0.0
34,1965,1,John Surtees,Ferrari,0.0
35,1965,1,Frank Gardner,Brabham-BRM,0.0
36,1965,2,Jim Clark,Lotus-Climax,9.0
37,1965,2,Jackie Stewart,BRM,6.0
38,1965,2,John Surtees,Ferrari,4.0
39,1965,2,Denny Hulme,Brabham-Climax,3.0
40,1965,2,Graham Hill,BRM,2.0
41,1965,2,Jo Siffert,Brabham-BRM,1.0
42,1965,2,Mike Spence,Lotus-Climax,0.0
43,1965,2,Lorenzo Bandini,Ferrari,0.0
44,1965,2,Bob Anderson,Brabham-Climax,0.0
45,1965,2,Bruce McLaren,Cooper-Climax,0.0
46,1965,2,Jo Bonnier,Brabham-Climax,0.0
47,1965,2,Chris Amon,Lotus-BRM,0.0
48,1965,2,Innes Ireland,Lotus-BRM,0.0
49,1965,2,Dan Gurney,Brabham-Climax,0.0
50,1965,2,Richie Ginther,Honda,0.0
51,1965,2,Ronnie Bucknum,Honda,0.0
52,1965,2,Jochen Rindt,Cooper-Climax,0.0
53,1965,3,Jim Clark,Lotus-Climax,9.0
54,1965,3,Graham Hill,BRM,6.0
55,1965,3,John Surtees,Ferrari,4.0
56,1965,3,Mike Spence,Lotus-Climax,3.0
57,1965,3,Jackie Stewart,BRM,2.0
58,1965,3,Dan Gurney,Brabham-Climax,1.0
59,1965,3,Jo Bonnier,Brabham-Climax,0.0
60,1965,3,Frank Gardner,Brabham-BRM,0.0
61,1965,3,Jo Siffert,Brabham-BRM,0.0
62,1965,3,Bruce McLaren,Cooper-Climax,0.0
63,1965,3,Ian Raby,Brabham-BRM,0.0
64,1965,3,Masten Gregory,BRM,0.0
65,1965,3,Richard Attwood,Lotus-BRM,0.0
66,1965,3,Jochen Rindt,Cooper-Climax,0.0
67,1965,3,Innes Ireland,Lotus-BRM,0.0
68,1965,3,John Rhodes,Cooper-Climax,0.0
69,1965,3,Bob Anderson,Brabham-Climax,0.0
70,1965,3,Denny Hulme,Brabham-Climax,0.0
71,1965,3,Richie Ginther,Honda,0.0
72,1965,3,Lorenzo Bandini,Ferrari,0.0
73,1965,3,Jack Brabham,Brabham-Climax,0.0
74,1965,3,Alan Rollinson,Cooper-Ford,0.0
75,1965,3,Brian Gubby,Lotus-Climax,0.0
76,1965,4,Jim Clark,Lotus-Climax,9.0
77,1965,4,Jackie Stewart,BRM,6.0
78,1965,4,Dan Gurney,Brabham-Climax,4.0
79,1965,4,Graham Hill,BRM,3.0
80,1965,4,Denny Hulme,Brabham-Climax,2.0
81,1965,4,Richie Ginther,Honda,1.0
82,1965,4,John Surtees,Ferrari,0.0
83,1965,4,Mike Spence,Lotus-Climax,0.0
84,1965,4,Lorenzo Bandini,Ferrari,0.0
85,1965,4,Innes Ireland,Lotus-BRM,0.0
86,1965,4,Frank Gardner,Brabham-BRM,0.0
87,1965,4,Richard Attwood,Lotus-BRM,0.0
88,1965,4,Jo Siffert,Brabham-BRM,0.0
89,1965,4,Jochen Rindt,Cooper-Climax,0.0
90,1965,4,Bruce McLaren,Cooper-Climax,0.0
91,1965,4,Jo Bonnier,Brabham-Climax,0.0
92,1965,4,Bob Anderson,Brabham-Climax,0.0
93,1965,5,Jim Clark,Lotus-Climax,9.0
94,1965,5,Graham Hill,BRM,6.0
95,1965,5,Dan Gurney,Brabham-Climax,4.0
96,1965,5,Jochen Rindt,Cooper-Climax,3.0
97,1965,5,Jack Brabham,Brabham-Climax,2.0
