,Year,GP,Driver,Team,Points
0,2008,0,Kimi Räikkönen,Ferrari,10.0
1,2008,0,Robert Kubica,BMW Sauber,8.0
2,2008,0,Heikki Kovalainen,McLaren,6.0
3,2008,0,Jarno Trulli,Toyota,5.0
4,2008,0,Lewis Hamilton,McLaren,4.0
5,2008,0,Nick Heidfeld,BMW Sauber,3.0
6,2008,0,Mark Webber,Red Bull,2.0
7,2008,0,Fernando Alonso,Renault,1.0
8,2008,0,David Coulthard,Red Bull,0.0
9,2008,0,Jenson Button,Honda,0.0
10,2008,0,Nelson Piquet Jr.,Renault,0.0
11,2008,0,Giancarlo Fisichella,Force India,0.0
12,2008,0,Rubens Barrichello,Honda,0.0
13,2008,0,Nico Rosberg,Williams,0.0
14,2008,0,Anthony Davidson,Super Aguri,0.0
15,2008,0,Takuma Sato,Super Aguri,0.0
16,2008,0,Kazuki Nakajima,Williams,0.0
17,2008,0,Sebastian Vettel,Toro Rosso,0.0
18,2008,0,Felipe Massa,Ferrari,0.0
19,2008,0,Adrian Sutil,Force India,0.0
20,2008,0,Timo Glock,Toyota,0.0
21,2008,0,Sébastien Bourdais,Toro Rosso,0.0
22,2008,1,Felipe Massa,Ferrari,10.0
23,2008,1,Kimi Räikkönen,Ferrari,8.0
24,2008,1,Robert Kubica,BMW Sauber,6.0
25,2008,1,Nick Heidfeld,BMW Sauber,5.0
26,2008,1,Heikki Kovalainen,McLaren,4.0
27,2008,1,Jarno Trulli,Toyota,3.0
28,2008,1,Mark Webber,Red Bull,2.0
29,2008,1,Nico Rosberg,Williams,1.0
30,2008,1,Timo Glock,Toyota,0.0
31,2008,1,Fernando Alonso,Renault,0.0
32,2008,1,Rubens Barrichello,Honda,0.0
33,2008,1,Giancarlo Fisichella,Force India,0.0
34,2008,1,Lewis Hamilton,McLaren,0.0
35,2008,1,Kazuki Nakajima,Williams,0.0
36,2008,1,Sébastien Bourdais,Toro Rosso,0.0
37,2008,1,Anthony Davidson,Super Aguri,0.0
38,2008,1,Takuma Sato,Super Aguri,0.0
39,2008,1,David Coulthard,Red Bull,0.0
40,2008,1,Adrian Sutil,Force India,0.0
41,2008,1,Nelson Piquet Jr.,Renault,0.0
42,2008,1,Jenson Button,Honda,0.0
43,2008,1,Sebastian Vettel,Toro Rosso,0.0
44,2008,2,Kimi Räikkönen,Ferrari,10.0
45,2008,2,Felipe Massa,Ferrari,8.0
46,2008,2,Lewis Hamilton,McLaren,6.0
47,2008,2,Robert Kubica,BMW Sauber,5.0
48,2008,2,Mark Webber,Red Bull,4.0
49,2008,2,Jenson Button,Honda,3.0
50,2008,2,Kazuki Nakajima,Williams,2.0
51,2008,2,Jarno Trulli,Toyota,1.0
52,2008,2,Nick Heidfeld,BMW Sauber,0.0
53,2008,2,Giancarlo Fisichella,Force India,0.0
54,2008,2,Timo Glock,Toyota,0.0
55,2008,2,David Coulthard,Red Bull,0.0
56,2008,2,Takuma Sato,Super Aguri,0.0
57,2008,2,Nico Rosberg,Williams,0.0
58,2008,2,Fernando Alonso,Renault,0.0
59,2008,2,Rubens Barrichello,Honda,0.0
60,2008,2,Heikki Kovalainen,McLaren,0.0
61,2008,2,Anthony Davidson,Super Aguri,0.0
62,2008,2,Sébastien Bourdais,Toro Rosso,0.0
63,2008,2,Nelson Piquet Jr.,Renault,0.0
64,2008,2,Adrian Sutil,Force India,0.0
65,2008,2,Sebastian Vettel,Toro Rosso,0.0
66,2008,3,Felipe Massa,Ferrari,10.0
67,2008,3,Lewis Hamilton,McLaren,8.0
68,2008,3,Kimi Räikkönen,Ferrari,6.0
69,2008,3,Robert Kubica,BMW Sauber,5.0
70,2008,3,Nick Heidfeld,BMW Sauber,4.0
71,2008,3,Fernando Alonso,Renault,3.0
72,2008,3,Mark Webber,Red Bull,2.0
73,2008,3,Nico Rosberg,Williams,1.0
74,2008,3,David Coulthard,Red Bull,0.0
75,2008,3,Jarno Trulli,Toyota,0.0
76,2008,3,Jenson Button,Honda,0.0
77,2008,3,Heikki Kovalainen,McLaren,0.0
78,2008,3,Timo Glock,Toyota,0.0
79,2008,3,Rubens Barrichello,Honda,0.0
80,2008,3,Nelson Piquet Jr.,Renault,0.0
81,2008,3,Adrian Sutil,Force India,0.0
82,2008,3,Sebastian Vettel,Toro Rosso,0.0
83,2008,3,Sébastien Bourdais,Toro Rosso,0.0
84,2008,3,Kazuki Nakajima,Williams,0.0
85,2008,3,Giancarlo Fisichella,Force India,0.0
86,2008,4,Lewis Hamilton,McLaren,10.0
87,2008,4,Robert Kubica,BMW Sauber,8.0
88,2008,4,Felipe Massa,Ferrari,6.0
89,2008,4,Mark Webber,Red Bull,5.0
90,2008,4,Sebastian Vettel,Toro Rosso,4.0
91,2008,4,Rubens Barrichello,Honda,3.0
92,2008,4,Kazuki Nakajima,Williams,2.0
93,2008,4,Heikki Kovalainen,McLaren,1.0
94,2008,4,Kimi Räikkönen,Ferrari,0.0
95,2008,4,Fernando Alonso,Renault,0.0
96,2008,4,Jenson Button,Honda,0.0
97,2008,4,Timo Glock,Toyota,0.0
98,2008,4,Jarno Trulli,Toyota,0.0
99,2008,4,Nick Heidfeld,BMW Sauber,0.0
100,2008,4,Adrian Sutil,Force India,0.0
101,2008,4,Nico Rosberg,Williams,0.0
102,2008,4,Nelson Piquet Jr.,Renault,0.0
103,2008,4,Giancarlo Fisichella,Force India,0.0
104,2008,4,David Coulthard,Red Bull,0.0
105,2008,4,Sébastien Bourdais,Toro Rosso,0.0
106,2008,5,Robert Kubica,BMW Sauber,10.0
107,2008,5,Nick Heidfeld,BMW Sauber,8.0
108,2008,5,David Coulthard,Red Bull,6.0
109,2008,5,Timo Glock,Toyota,5.0
110,2008,5,Felipe Massa,Ferrari,4.0
111,2008,5,Jarno Trulli,Toyota,3.0
112,2008,5,Rubens Barrichello,Honda,2.0
113,2008,5,Sebastian Vettel,Toro Rosso,1.0
114,2008,5,Heikki Kovalainen,McLaren,0.0
115,2008,5,Nico Rosberg,Williams,0.0
116,2008,5,Jenson Button,Honda,0.0
117,2008,5,Mark Webber,Red Bull,0.0
118,2008,5,Sébastien Bourdais,Toro Rosso,0.0
119,2008,5,Giancarlo Fisichella,Force India,0.0
120,2008,5,Kazuki Nakajima,Williams,0.0
121,2008,5,Fernando Alonso,Renault,0.0
122,2008,5,Nelson Piquet Jr.,Renault,0.0
123,2008,5,Kimi Räikkönen,Ferrari,0.0
124,2008,5,Lewis Hamilton,McLaren,0.0
125,2008,5,Adrian Sutil,Force India,0.0
126,2008,6,Felipe Massa,Ferrari,10.0
127,2008,6,Kimi Räikkönen,Ferrari,8.0
128,2008,6,Jarno Trulli,Toyota,6.0
129,2008,6,Heikki Kovalainen,McLaren,5.0
130,2008,6,Robert Kubica,BMW Sauber,4.0
131,2008,6,Mark Webber,Red Bull,3.0
132,2008,6,Nelson Piquet Jr.,Renault,2.0
133,2008,6,Fernando Alonso,Renault,1.0
134,2008,6,David Coulthard,Red Bull,0.0
135,2008,6,Lewis Hamilton,McLaren,0.0
136,2008,6,Timo Glock,Toyota,0.0
137,2008,6,Sebastian Vettel,Toro Rosso,0.0
138,2008,6,Nick Heidfeld,BMW Sauber,0.0
139,2008,6,Rubens Barrichello,Honda,0.0
140,2008,6,Kazuki Nakajima,Williams,0.0
141,2008,6,Nico Rosberg,Williams,0.0
142,2008,6,Sébastien Bourdais,Toro Rosso,0.0
143,2008,6,Giancarlo Fisichella,Force India,0.0
144,2008,6,Adrian Sutil,Force India,0.0
145,2008,6,Jenson Button,Honda,0.0
146,2008,7,Lewis Hamilton,McLaren,10.0
147,2008,7,Nick Heidfeld,BMW Sauber,8.0
148,2008,7,Rubens Barrichello,Honda,6.0
149,2008,7,Kimi Räikkönen,Ferrari,5.0
150,2008,7,Heikki Kovalainen,McLaren,4.0
151,2008,7,Fernando Alonso,Renault,3.0
152,2008,7,Jarno Trulli,Toyota,2.0
153,2008,7,Kazuki Nakajima,Williams,1.0
154,2008,7,Nico Rosberg,Williams,0.0
155,2008,7,Mark Webber,Red Bull,0.0
156,2008,7,Sébastien Bourdais,Toro Rosso,0.0
157,2008,7,Timo Glock,Toyota,0.0
158,2008,7,Felipe Massa,Ferrari,0.0
159,2008,7,Robert Kubica,BMW Sauber,0.0
160,2008,7,Jenson Button,Honda,0.0
161,2008,7,Nelson Piquet Jr.,Renault,0.0
162,2008,7,Giancarlo Fisichella,Force India,0.0
163,2008,7,Adrian Sutil,Force India,0.0
164,2008,7,Sebastian Vettel,Toro Rosso,0.0
165,2008,7,David Coulthard,Red Bull,0.0
166,2008,8,Lewis Hamilton,McLaren,10.0
167,2008,8,Nelson Piquet Jr.,Renault,8.0
168,2008,8,Felipe Massa,Ferrari,6.0
169,2008,8,Nick Heidfeld,BMW Sauber,5.0
170,2008,8,Heikki Kovalainen,McLaren,4.0
171,2008,8,Kimi Räikkönen,Ferrari,3.0
172,2008,8,Robert Kubica,BMW Sauber,2.0
173,2008,8,Sebastian Vettel,Toro Rosso,1.0
174,2008,8,Jarno Trulli,Toyota,0.0
175,2008,8,Nico Rosberg,Williams,0.0
176,2008,8,Fernando Alonso,Renault,0.0
177,2008,8,Sébastien Bourdais,Toro Rosso,0.0
178,2008,8,David Coulthard,Red Bull,0.0
179,2008,8,Kazuki Nakajima,Williams,0.0
180,2008,8,Adrian Sutil,Force India,0.0
181,2008,8,Giancarlo Fisichella,Force India,0.0
182,2008,8,Jenson Button,Honda,0.0
183,2008,8,Rubens Barrichello,Honda,0.0
184,2008,8,Mark Webber,Red Bull,0.0
185,2008,8,Timo Glock,Toyota,0.0
186,2008,9,Heikki Kovalainen,McLaren,10.0
187,2008,9,Timo Glock,Toyota,8.0
188,2008,9,Kimi Räikkönen,Ferrari,6.0
189,2008,9,Fernando Alonso,Renault,5.0
190,2008,9,Lewis Hamilton,McLaren,4.0
191,2008,9,Nelson Piquet Jr.,Renault,3.0
192,2008,9,Jarno Trulli,Toyota,2.0
193,2008,9,Robert Kubica,BMW Sauber,1.0
194,2008,9,Mark Webber,Red Bull,0.0
195,2008,9,Nick Heidfeld,BMW Sauber,0.0
196,2008,9,David Coulthard,Red Bull,0.0
197,2008,9,Jenson Button,Honda,0.0
198,2008,9,Kazuki Nakajima,Williams,0.0
199,2008,9,Nico Rosberg,Williams,0.0
200,2008,9,Giancarlo Fisichella,Force India,0.0
201,2008,9,Rubens Barrichello,Honda,0.0
202,2008,9,Felipe Massa,Ferrari,0.0
203,2008,9,Sébastien Bourdais,Toro Rosso,0.0
204,2008,9,Adrian Sutil,Force India,0.0
205,2008,9,Sebastian Vettel,Toro Rosso,0.0
206,2008,10,Felipe Massa,Ferrari,10.0
207,2008,10,Lewis Hamilton,McLaren,8.0
208,2008,10,Robert Kubica,BMW Sauber,6.0
209,2008,10,Heikki Kovalainen,McLaren,5.0
210,2008,10,Jarno Trulli,Toyota,4.0
211,2008,10,Sebastian Vettel,Toro Rosso,3.0
212,2008,10,Timo Glock,Toyota,2.0
213,2008,10,Nico Rosberg,Williams,1.0
214,2008,10,Nick Heidfeld,BMW Sauber,0.0
215,2008,10,Sébastien Bourdais,Toro Rosso,0.0
216,2008,10,Nelson Piquet Jr.,Renault,0.0
217,2008,10,Mark Webber,Red Bull,0.0
218,2008,10,Jenson Button,Honda,0.0
219,2008,10,Giancarlo Fisichella,Force India,0.0
220,2008,10,Kazuki Nakajima,Williams,0.0
221,2008,10,Rubens Barrichello,Honda,0.0
222,2008,10,David Coulthard,Red Bull,0.0
223,2008,10,Kimi Räikkönen,Ferrari,0.0
224,2008,10,Adrian Sutil,Force India,0.0
225,2008,10,Fernando Alonso,Renault,0.0
226,2008,11,Felipe Massa,Ferrari,10.0
227,2008,11,Nick Heidfeld,BMW Sauber,8.0
228,2008,11,Lewis Hamilton,McLaren,6.0
229,2008,11,Fernando Alonso,Renault,5.0
