,Year,GP,Driver,Team,Points
0,1963,0,Jim Clark,Lotus-Climax,9.0
1,1963,0,Bruce McLaren,Cooper-Climax,6.0
2,1963,0,Dan Gurney,Brabham,4.0
3,1963,0,Richie Ginther,BRM,3.0
4,1963,0,Jo Bonnier,Cooper-Climax,2.0
5,1963,0,Carel Godin de Beaufort,Porsche,1.0
6,1963,0,Tony Maggs,Cooper-Climax,0.0
7,1963,0,Tony Settember,Scirocco,0.0
8,1963,0,John Surtees,Ferrari,0.0
9,1963,0,Graham Hill,BRM,0.0
10,1963,0,Lucien Bianchi,Lola,0.0
11,1963,0,Jim Hall,Lotus-BRM,0.0
12,1963,0,Jo Siffert,Lotus-BRM,0.0
13,1963,0,Phil Hill,ATS,0.0
14,1963,0,Jack Brabham,Brabham,0.0
15,1963,0,Chris Amon,Lola,0.0
16,1963,0,Innes Ireland,BRP,0.0
17,1963,0,Willy Mairesse,Ferrari,0.0
18,1963,0,Giancarlo Baghetti,ATS,0.0
19,1963,0,Trevor Taylor,Lotus-Climax,0.0
20,1963,0,Peter Arundell,Lotus-Climax,0.0
21,1963,0,Ludovico Scarfiotti,Ferrari,0.0
22,1963,0,Lorenzo Bandini,BRM,0.0
23,1963,0,Ian Burgess,Scirocco,0.0
24,1963,1,Jim Clark,Lotus-Climax,9.0
25,1963,1,Dan Gurney,Brabham,6.0
26,1963,1,John Surtees,Ferrari,4.0
27,1963,1,Innes Ireland,BRP,3.0
28,1963,1,Richie Ginther,BRM,2.0
29,1963,1,Ludovico Scarfiotti,Ferrari,1.0
30,1963,1,Jo Siffert,Lotus-BRM,0.0
31,1963,1,Jim Hall,Lotus-BRM,0.0
32,1963,1,Carel Godin de Beaufort,Porsche,0.0
33,1963,1,Trevor Taylor,Lotus-Climax,0.0
34,1963,1,Jo Bonnier,Cooper-Climax,0.0
35,1963,1,Graham Hill,BRM,0.0
36,1963,1,Jack Brabham,Brabham,0.0
37,1963,1,Chris Amon,Lola,0.0
38,1963,1,Giancarlo Baghetti,ATS,0.0
39,1963,1,Phil Hill,ATS,0.0
40,1963,1,Tony Maggs,Cooper-Climax,0.0
41,1963,1,Bruce McLaren,Cooper-Climax,0.0
42,1963,1,Gerhard Mitter,Porsche,0.0
43,1963,1,Tony Settember,Scirocco,0.0
44,1963,1,Ian Burgess,Scirocco,0.0
45,1963,2,Jim Clark,Lotus-Climax,9.0
46,1963,2,Tony Maggs,Cooper-Climax,6.0
47,1963,2,Graham Hill,BRM,0.0
48,1963,2,Jack Brabham,Brabham,3.0
49,1963,2,Dan Gurney,Brabham,2.0
50,1963,2,Jo Siffert,Lotus-BRM,1.0
51,1963,2,Chris Amon,Lola,0.0
52,1963,2,Maurice Trintignant,Lotus-Climax,0.0
53,1963,2,Innes Ireland,BRP,0.0
54,1963,2,Lorenzo Bandini,BRM,0.0
55,1963,2,Jim Hall,Lotus-BRM,0.0
56,1963,2,Bruce McLaren,Cooper-Climax,0.0
57,1963,2,Trevor Taylor,Lotus-Climax,0.0
58,1963,2,Phil Hill,Lotus-BRM,0.0
59,1963,2,Jo Bonnier,Cooper-Climax,0.0
60,1963,2,Masten Gregory,Lotus-BRM,0.0
61,1963,2,John Surtees,Ferrari,0.0
