,Year,GP,Driver,Team,Points
0,1953,0,Bill Vukovich,Kurtis Kraft,9.0
1,1953,0,Art Cross,Kurtis Kraft,6.0
2,1953,0,Sam Hanks,Kurtis Kraft,2.0
3,1953,0,Duane Carter,Kurtis Kraft,2.0
4,1953,0,Paul Russo,Kurtis Kraft,1.5
5,1953,0,Fred Agabashian,Kurtis Kraft,1.5
6,1953,0,Jack McGrath,Kurtis Kraft,2.0
7,1953,0,Jimmy Daywalt,Kurtis Kraft,0.0
8,1953,0,Jim Rathmann,Kurtis Kraft,0.0
9,1953,0,Eddie Johnson,Kurtis Kraft,0.0
10,1953,0,Ernie McCoy,Stevens,0.0
11,1953,0,Tony Bettenhausen,Kuzma,0.0
12,1953,0,Chuck Stevenson,Kuzma,0.0
13,1953,0,Gene Hartley,Kuzma,0.0
14,1953,0,Jimmy Davies,Kurtis Kraft,0.0
15,1953,0,Duke Nalon,Kurtis Kraft,0.0
16,1953,0,Bob Scott,Kurtis Kraft,0.0
17,1953,0,Carl Scarborough,Kurtis Kraft,0.0
18,1953,0,Manny Ayulo,Kuzma,0.0
19,1953,0,Jimmy Bryan,Schroeder,0.0
20,1953,0,Jim Rathmann,Kurtis Kraft,0.0
21,1953,0,Bill Holland,Kurtis Kraft,0.0
22,1953,0,Duke Dinsmore,Kurtis Kraft,0.0
23,1953,0,Andy Linden,Kurtis Kraft,0.0
24,1953,0,Rodger Ward,Kurtis Kraft,0.0
25,1953,0,Walt Faulkner,Kurtis Kraft,0.0
26,1953,0,Johnny Mantz,Kurtis Kraft,0.0
27,1953,0,Marshall Teague,Kurtis Kraft,0.0
28,1953,0,Johnny Thomson,Kurtis Kraft,0.0
29,1953,0,Travis Webb,Kurtis Kraft,0.0
30,1953,1,Alberto Ascari,Ferrari,8.0
31,1953,1,Nino Farina,Ferrari,6.0
32,1953,1,Felice Bonetto,Maserati,2.0
33,1953,1,José Froilán González,Maserati,2.0
34,1953,1,Mike Hawthorn,Ferrari,3.0
35,1953,1,Toulo de Graffenried,Maserati,2.0
36,1953,1,Maurice Trintignant,Gordini,0.0
37,1953,1,Louis Rosier,Ferrari,0.0
38,1953,1,Peter Collins,HWM,0.0
39,1953,1,Stirling Moss,Connaught,0.0
40,1953,1,Luigi Villoresi,Ferrari,1.0
41,1953,1,Kenneth McAlpine,Connaught,0.0
42,1953,1,Harry Schell,Gordini,0.0
43,1953,1,Johnny Claes,Connaught,0.0
44,1953,1,Juan Fangio,Maserati,0.0
45,1953,1,Roberto Mieres,Gordini,0.0
46,1953,1,José Froilán González,Maserati,0.0
47,1953,1,Ken Wharton,Cooper,0.0
48,1953,1,Roy Salvadori,Connaught,0.0
49,1953,1,Lance Macklin,HWM,0.0
50,1953,2,Alberto Ascari,Ferrari,8.0
51,1953,2,Luigi Villoresi,Ferrari,6.0
52,1953,2,Onofre Marimón,Maserati,4.0
53,1953,2,Toulo de Graffenried,Maserati,3.0
54,1953,2,Maurice Trintignant,Gordini,2.0
55,1953,2,Mike Hawthorn,Ferrari,0.0
56,1953,2,Harry Schell,Gordini,0.0
57,1953,2,Louis Rosier,Ferrari,0.0
58,1953,2,Fred Wacker,Gordini,0.0
59,1953,2,Paul Frère,HWM,0.0
60,1953,2,André Pilette,Connaught,0.0
61,1953,2,Johnny Claes,Maserati,0.0
62,1953,2,Juan Fangio,Maserati,0.0
63,1953,2,Lance Macklin,HWM,0.0
64,1953,2,Nino Farina,Ferrari,0.0
65,1953,2,Juan Fangio,Maserati,0.0
66,1953,2,José Froilán González,Maserati,1.0
67,1953,2,Jean Behra,Gordini,0.0
68,1953,2,Peter Collins,HWM,0.0
69,1953,2,Georges Berger,Simca,0.0
70,1953,2,Arthur Legat,Veritas,0.0
71,1953,3,Mike Hawthorn,Ferrari,8.0
72,1953,3,Juan Fangio,Maserati,7.0
73,1953,3,José Froilán González,Maserati,4.0
74,1953,3,Alberto Ascari,Ferrari,3.0
75,1953,3,Nino Farina,Ferrari,2.0
76,1953,3,Luigi Villoresi,Ferrari,0.0
77,1953,3,Toulo de Graffenried,Maserati,0.0
78,1953,3,Louis Rosier,Ferrari,0.0
79,1953,3,Onofre Marimón,Maserati,0.0
80,1953,3,Jean Behra,Gordini,0.0
81,1953,3,Bob Gerard,Cooper,0.0
82,1953,3,Johnny Claes,Connaught,0.0
83,1953,3,Peter Collins,HWM,0.0
84,1953,3,Yves Cabantous,HWM,0.0
85,1953,3,Louis Chiron,OSCA,0.0
86,1953,3,Felice Bonetto,Maserati,0.0
87,1953,3,Stirling Moss,Cooper,0.0
88,1953,3,Prince Bira,Connaught,0.0
89,1953,3,Élie Bayol,OSCA,0.0
90,1953,3,Ken Wharton,Cooper,0.0
91,1953,3,Maurice Trintignant,Gordini,0.0
92,1953,3,Lance Macklin,HWM,0.0
93,1953,3,Harry Schell,Gordini,0.0
94,1953,3,Roberto Mieres,Gordini,0.0
95,1953,3,Roy Salvadori,Connaught,0.0
96,1953,4,Alberto Ascari,Ferrari,8.5
97,1953,4,Juan Fangio,Maserati,6.0
98,1953,4,Nino Farina,Ferrari,4.0
99,1953,4,José Froilán González,Maserati,3.5
100,1953,4,Mike Hawthorn,Ferrari,2.0
101,1953,4,Felice Bonetto,Maserati,0.0
102,1953,4,Prince Bira,Connaught,0.0
103,1953,4,Ken Wharton,Cooper,0.0
104,1953,4,Peter Whitehead,Cooper,0.0
105,1953,4,Louis Rosier,Ferrari,0.0
106,1953,4,Jimmy Stewart,Cooper,0.0
107,1953,4,Tony Rolt,Connaught,0.0
108,1953,4,Luigi Villoresi,Ferrari,0.0
109,1953,4,Onofre Marimón,Maserati,0.0
110,1953,4,Alan Brown,Cooper,0.0
111,1953,4,Peter Collins,HWM,0.0
112,1953,4,Jack Fairman,HWM,0.0
113,1953,4,Roy Salvadori,Connaught,0.0
114,1953,4,Toulo de Graffenried,Maserati,0.0
115,1953,4,Lance Macklin,HWM,0.0
116,1953,4,Jean Behra,Gordini,0.0
117,1953,4,Ian Stewart,Connaught,0.0
118,1953,4,Maurice Trintignant,Gordini,0.0
119,1953,4,Duncan Hamilton,HWM,0.0
120,1953,4,Harry Schell,Gordini,0.0
121,1953,4,Kenneth McAlpine,Connaught,0.0
122,1953,4,Tony Crook,Cooper,0.0
123,1953,5,Nino Farina,Ferrari,8.0
124,1953,5,Juan Fangio,Maserati,6.0
125,1953,5,Mike Hawthorn,Ferrari,4.0
126,1953,5,Felice Bonetto,Maserati,3.0
127,1953,5,Toulo de Graffenried,Maserati,2.0
128,1953,5,Stirling Moss,Cooper,0.0
129,1953,5,Jacques Swaters,Ferrari,0.0
130,1953,5,Luigi Villoresi,Ferrari,0.0
131,1953,5,Alberto Ascari,Ferrari,0.0
132,1953,5,Hans Herrmann,Veritas,0.0
