,Year,GP,Driver,Team,Points
0,1954,0,Bill Vukovich,Kurtis Kraft,8.0
1,1954,0,Jimmy Bryan,Kuzma,6.0
2,1954,0,Jack McGrath,Kurtis Kraft,5.0
3,1954,0,Duane Carter,Kurtis Kraft,1.5
4,1954,0,Troy Ruttman,Kurtis Kraft,1.5
5,1954,0,Mike Nazaruk,Kurtis Kraft,2.0
6,1954,0,Fred Agabashian,Kurtis Kraft,0.0
7,1954,0,Don Freeland,Phillips,0.0
8,1954,0,Paul Russo,Kurtis Kraft,0.0
9,1954,0,Jerry Hoyt,Kurtis Kraft,0.0
10,1954,0,Larry Crockett,Kurtis Kraft,0.0
11,1954,0,Cal Niday,Stevens,0.0
12,1954,0,Johnnie Parsons,Kurtis Kraft,0.0
13,1954,0,Jimmy Davies,Kurtis Kraft,0.0
14,1954,0,Art Cross,Kurtis Kraft,0.0
15,1954,0,Andy Linden,Kurtis Kraft,0.0
16,1954,0,Sam Hanks,Kurtis Kraft,0.0
17,1954,0,Chuck Stevenson,Kuzma,0.0
18,1954,0,Walt Faulkner,Kuzma,0.0
19,1954,0,Manny Ayulo,Kuzma,0.0
20,1954,0,Bob Sweikert,Kurtis Kraft,0.0
21,1954,0,Marshall Teague,Kurtis Kraft,0.0
22,1954,0,Duane Carter,Kurtis Kraft,0.0
23,1954,0,Jimmy Jackson,Kurtis Kraft,0.0
24,1954,0,Tony Bettenhausen,Kurtis Kraft,0.0
25,1954,0,Ernie McCoy,Kurtis Kraft,0.0
26,1954,0,Jimmy Reece,Pankratz,0.0
27,1954,0,Bob Scott,Stevens,0.0
28,1954,0,Ed Elisian,Stevens,0.0
29,1954,0,Frank Armi,Kurtis Kraft,0.0
30,1954,1,Juan Fangio,Maserati,9.0
31,1954,1,Maurice Trintignant,Ferrari,6.0
32,1954,1,Stirling Moss,Maserati,4.0
33,1954,1,José Froilán González,Ferrari,1.5
34,1954,1,Mike Hawthorn,Ferrari,1.5
35,1954,1,André Pilette,Gordini,2.0
36,1954,1,Prince Bira,Maserati,0.0
37,1954,1,Sergio Mantovani,Maserati,0.0
38,1954,1,Nino Farina,Ferrari,0.0
39,1954,1,Paul Frère,Gordini,0.0
40,1954,1,Jean Behra,Gordini,0.0
41,1954,1,Onofre Marimón,Maserati,0.0
42,1954,1,José Froilán González,Ferrari,0.0
43,1954,1,Jacques Swaters,Ferrari,0.0
44,1954,1,Roberto Mieres,Maserati,0.0
45,1954,2,Juan Fangio,Mercedes,8.0
46,1954,2,Karl Kling,Mercedes,6.0
47,1954,2,Robert Manzon,Ferrari,4.0
48,1954,2,Prince Bira,Maserati,3.0
49,1954,2,Luigi Villoresi,Maserati,2.0
50,1954,2,Jean Behra,Gordini,0.0
51,1954,2,Paul Frère,Gordini,0.0
52,1954,2,Maurice Trintignant,Ferrari,0.0
53,1954,2,Louis Rosier,Ferrari,0.0
54,1954,2,Onofre Marimón,Maserati,0.0
55,1954,2,Roberto Mieres,Maserati,0.0
56,1954,2,Ken Wharton,Maserati,0.0
57,1954,2,Harry Schell,Maserati,0.0
58,1954,2,Hans Herrmann,Mercedes,1.0
59,1954,2,Roy Salvadori,Maserati,0.0
60,1954,2,José Froilán González,Ferrari,0.0
61,1954,2,Lance Macklin,HWM,0.0
62,1954,2,Georges Berger,Gordini,0.0
63,1954,2,Mike Hawthorn,Ferrari,0.0
64,1954,2,Jacques Pollet,Gordini,0.0
65,1954,2,Alberto Ascari,Maserati,0.0
66,1954,2,Sergio Mantovani,Maserati,0.0
67,1954,3,José Froilán González,Ferrari,8.14
68,1954,3,Mike Hawthorn,Ferrari,6.14
69,1954,3,Onofre Marimón,Maserati,4.14
70,1954,3,Juan Fangio,Mercedes,3.14
71,1954,3,Maurice Trintignant,Ferrari,2.0
72,1954,3,Roberto Mieres,Maserati,0.0
73,1954,3,Karl Kling,Mercedes,0.0
74,1954,3,Ken Wharton,Maserati,0.0
75,1954,3,André Pilette,Gordini,0.0
76,1954,3,Bob Gerard,Cooper,0.0
77,1954,3,Don Beauman,Connaught,0.0
78,1954,3,Harry Schell,Maserati,0.0
79,1954,3,Leslie Marr,Connaught,0.0
80,1954,3,Leslie Thorne,Connaught,0.0
81,1954,3,Horace Gould,Cooper,0.0
82,1954,3,Stirling Moss,Maserati,0.0
83,1954,3,Bill Whitehouse,Connaught,0.0
84,1954,3,Jean Behra,Gordini,0.0
85,1954,3,Roy Salvadori,Maserati,0.0
86,1954,3,Ron Flockhart,Maserati,0.0
87,1954,3,Prince Bira,Maserati,0.0
88,1954,3,Luigi Villoresi,Maserati,0.0
89,1954,3,Alberto Ascari,Maserati,0.0
90,1954,3,John Riseley-Prichard,Connaught,0.0
91,1954,3,Reg Parnell,Ferrari,0.0
92,1954,3,Alberto Ascari,Maserati,0.0
93,1954,3,Clemar Bucci,Gordini,0.0
94,1954,3,Peter Collins,Vanwall,0.0
