,Year,GP,Driver,Team,Points
0,2009,0,Jenson Button,Brawn,5.0
1,2009,0,Nick Heidfeld,BMW Sauber,4.0
2,2009,0,Timo Glock,Toyota,3.0
3,2009,0,Jarno Trulli,Toyota,2.5
4,2009,0,Rubens Barrichello,Brawn,2.0
5,2009,0,Mark Webber,Red Bull,1.5
6,2009,0,Lewis Hamilton,McLaren,1.0
7,2009,0,Nico Rosberg,Williams,0.5
8,2009,0,Felipe Massa,Ferrari,0.0
9,2009,0,Sébastien Bourdais,Toro Rosso,0.0
10,2009,0,Fernando Alonso,Renault,0.0
11,2009,0,Kazuki Nakajima,Williams,0.0
12,2009,0,Nelson Piquet Jr.,Renault,0.0
13,2009,0,Kimi Räikkönen,Ferrari,0.0
14,2009,0,Sebastian Vettel,Red Bull,0.0
15,2009,0,Sébastien Buemi,Toro Rosso,0.0
16,2009,0,Adrian Sutil,Force India,0.0
17,2009,0,Giancarlo Fisichella,Force India,0.0
18,2009,0,Robert Kubica,BMW Sauber,0.0
19,2009,0,Heikki Kovalainen,McLaren,0.0
20,2009,1,Sebastian Vettel,Red Bull,10.0
21,2009,1,Mark Webber,Red Bull,8.0
22,2009,1,Jenson Button,Brawn,6.0
23,2009,1,Rubens Barrichello,Brawn,5.0
24,2009,1,Heikki Kovalainen,McLaren,4.0
25,2009,1,Lewis Hamilton,McLaren,3.0
26,2009,1,Timo Glock,Toyota,2.0
27,2009,1,Sébastien Buemi,Toro Rosso,1.0
28,2009,1,Fernando Alonso,Renault,0.0
29,2009,1,Kimi Räikkönen,Ferrari,0.0
30,2009,1,Sébastien Bourdais,Toro Rosso,0.0
31,2009,1,Nick Heidfeld,BMW Sauber,0.0
32,2009,1,Robert Kubica,BMW Sauber,0.0
33,2009,1,Giancarlo Fisichella,Force India,0.0
34,2009,1,Nico Rosberg,Williams,0.0
35,2009,1,Nelson Piquet Jr.,Renault,0.0
36,2009,1,Adrian Sutil,Force India,0.0
37,2009,1,Kazuki Nakajima,Williams,0.0
38,2009,1,Felipe Massa,Ferrari,0.0
39,2009,1,Jarno Trulli,Toyota,0.0
40,2009,2,Jenson Button,Brawn,10.0
41,2009,2,Sebastian Vettel,Red Bull,8.0
42,2009,2,Jarno Trulli,Toyota,6.0
43,2009,2,Lewis Hamilton,McLaren,5.0
44,2009,2,Rubens Barrichello,Brawn,4.0
45,2009,2,Kimi Räikkönen,Ferrari,3.0
46,2009,2,Timo Glock,Toyota,2.0
47,2009,2,Fernando Alonso,Renault,1.0
48,2009,2,Nico Rosberg,Williams,0.0
49,2009,2,Nelson Piquet Jr.,Renault,0.0
50,2009,2,Mark Webber,Red Bull,0.0
51,2009,2,Heikki Kovalainen,McLaren,0.0
52,2009,2,Sébastien Bourdais,Toro Rosso,0.0
53,2009,2,Felipe Massa,Ferrari,0.0
54,2009,2,Giancarlo Fisichella,Force India,0.0
55,2009,2,Adrian Sutil,Force India,0.0
56,2009,2,Sébastien Buemi,Toro Rosso,0.0
