,Year,GP,Driver,Team,Points
0,1968,0,Graham Hill,Lotus-Ford,9.0
1,1968,0,Denny Hulme,McLaren-Ford,6.0
2,1968,0,Brian Redman,Cooper-BRM,4.0
3,1968,0,Ludovico Scarfiotti,Cooper-BRM,3.0
4,1968,0,Jean-Pierre Beltoise,Matra-Ford,2.0
5,1968,0,Bruce McLaren,McLaren-Ford,0.0
6,1968,0,John Surtees,Honda,0.0
7,1968,0,Jo Siffert,Lotus-Ford,0.0
8,1968,0,Chris Amon,Ferrari,0.0
9,1968,0,Piers Courage,BRM,0.0
10,1968,0,Pedro Rodríguez,BRM,0.0
11,1968,0,Jacky Ickx,Ferrari,0.0
12,1968,0,Jochen Rindt,Brabham-Repco,0.0
13,1968,0,Jack Brabham,Brabham-Repco,0.0
14,1968,1,Graham Hill,Lotus-Ford,9.0
15,1968,1,Richard Attwood,BRM,6.0
16,1968,1,Lucien Bianchi,Cooper-BRM,4.0
17,1968,1,Ludovico Scarfiotti,Cooper-BRM,3.0
18,1968,1,Denny Hulme,McLaren-Ford,2.0
19,1968,1,John Surtees,Honda,0.0
20,1968,1,Pedro Rodríguez,BRM,0.0
21,1968,1,Jo Siffert,Lotus-Ford,0.0
22,1968,1,Jean-Pierre Beltoise,Matra,0.0
23,1968,1,Piers Courage,BRM,0.0
24,1968,1,Dan Gurney,Eagle-Weslake,0.0
25,1968,1,Jochen Rindt,Brabham-Repco,0.0
26,1968,1,Jack Brabham,Brabham-Repco,0.0
27,1968,1,Johnny Servoz-Gavin,Matra-Ford,0.0
28,1968,1,Bruce McLaren,McLaren-Ford,0.0
29,1968,1,Jackie Oliver,Lotus-Ford,0.0
30,1968,1,Jo Bonnier,McLaren-BRM,0.0
31,1968,1,Silvio Moser,Brabham-Repco,0.0
32,1968,2,Bruce McLaren,McLaren-Ford,9.0
33,1968,2,Pedro Rodríguez,BRM,6.0
34,1968,2,Jacky Ickx,Ferrari,4.0
35,1968,2,Jackie Stewart,Matra-Ford,3.0
36,1968,2,Jackie Oliver,Lotus-Ford,2.0
37,1968,2,Lucien Bianchi,Cooper-BRM,1.0
38,1968,2,Jo Siffert,Lotus-Ford,0.0
39,1968,2,Jean-Pierre Beltoise,Matra,0.0
40,1968,2,Piers Courage,BRM,0.0
41,1968,2,Denny Hulme,McLaren-Ford,0.0
42,1968,2,John Surtees,Honda,0.0
43,1968,2,Chris Amon,Ferrari,0.0
44,1968,2,Brian Redman,Cooper-BRM,0.0
45,1968,2,Richard Attwood,BRM,0.0
46,1968,2,Jack Brabham,Brabham-Repco,0.0
47,1968,2,Graham Hill,Lotus-Ford,0.0
48,1968,2,Jochen Rindt,Brabham-Repco,0.0
49,1968,2,Jo Bonnier,McLaren-BRM,0.0
50,1968,3,Jackie Stewart,Matra-Ford,9.0
51,1968,3,Jean-Pierre Beltoise,Matra,6.0
52,1968,3,Pedro Rodríguez,BRM,4.0
53,1968,3,Jacky Ickx,Ferrari,3.0
54,1968,3,Silvio Moser,Brabham-Repco,2.0
55,1968,3,Chris Amon,Ferrari,1.0
56,1968,3,Richard Attwood,BRM,0.0
57,1968,3,Jo Bonnier,McLaren-BRM,0.0
58,1968,3,Graham Hill,Lotus-Ford,0.0
59,1968,3,Jackie Oliver,Lotus-Ford,0.0
60,1968,3,Dan Gurney,Brabham-Repco,0.0
61,1968,3,Jo Siffert,Lotus-Ford,0.0
62,1968,3,John Surtees,Honda,0.0
63,1968,3,Piers Courage,BRM,0.0
64,1968,3,Jochen Rindt,Brabham-Repco,0.0
65,1968,3,Jack Brabham,Brabham-Repco,0.0
66,1968,3,Bruce McLaren,McLaren-Ford,0.0
67,1968,3,Denny Hulme,McLaren-Ford,0.0
68,1968,3,Lucien Bianchi,Cooper-BRM,0.0
69,1968,4,Jacky Ickx,Ferrari,9.0
70,1968,4,John Surtees,Honda,6.0
71,1968,4,Jackie Stewart,Matra-Ford,4.0
72,1968,4,Vic Elford,Cooper-BRM,3.0
73,1968,4,Denny Hulme,McLaren-Ford,2.0
74,1968,4,Piers Courage,BRM,1.0
75,1968,4,Richard Attwood,BRM,0.0
76,1968,4,Bruce McLaren,McLaren-Ford,0.0
77,1968,4,Jean-Pierre Beltoise,Matra,0.0
78,1968,4,Chris Amon,Ferrari,0.0
79,1968,4,Jo Siffert,Lotus-Ford,0.0
80,1968,4,Pedro Rodríguez,BRM,0.0
81,1968,4,Jochen Rindt,Brabham-Repco,0.0
82,1968,4,Jack Brabham,Brabham-Repco,0.0
83,1968,4,Graham Hill,Lotus-Ford,0.0
84,1968,4,Johnny Servoz-Gavin,Cooper-BRM,0.0
85,1968,4,Jo Schlesser,Honda,0.0
86,1968,5,Jo Siffert,Lotus-Ford,9.0
87,1968,5,Chris Amon,Ferrari,6.0
88,1968,5,Jacky Ickx,Ferrari,4.0
89,1968,5,Denny Hulme,McLaren-Ford,3.0
90,1968,5,John Surtees,Honda,2.0
91,1968,5,Jackie Stewart,Matra-Ford,1.0
92,1968,5,Bruce McLaren,McLaren-Ford,0.0
93,1968,5,Piers Courage,BRM,0.0
94,1968,5,Jochen Rindt,Brabham-Repco,0.0
95,1968,5,Pedro Rodríguez,BRM,0.0
96,1968,5,Silvio Moser,Brabham-Repco,0.0
