,Year,GP,Driver,Team,Points
0,2011,0,Sebastian Vettel,Red Bull,25.0
1,2011,0,Jenson Button,McLaren,18.0
2,2011,0,Nick Heidfeld,Renault,15.0
3,2011,0,Mark Webber,Red Bull,12.0
4,2011,0,Felipe Massa,Ferrari,10.0
5,2011,0,Fernando Alonso,Ferrari,8.0
6,2011,0,Kamui Kobayashi,Sauber,6.0
7,2011,0,Lewis Hamilton,McLaren,4.0
8,2011,0,Michael Schumacher,Mercedes,2.0
9,2011,0,Paul di Resta,Force India,1.0
10,2011,0,Adrian Sutil,Force India,0.0
11,2011,0,Nico Rosberg,Mercedes,0.0
12,2011,0,Sébastien Buemi,Toro Rosso,0.0
13,2011,0,Jaime Alguersuari,Toro Rosso,0.0
14,2011,0,Heikki Kovalainen,Lotus,0.0
15,2011,0,Timo Glock,Virgin,0.0
16,2011,0,Vitaly Petrov,Renault,0.0
17,2011,0,Vitantonio Liuzzi,HRT,0.0
18,2011,0,Jérôme d'Ambrosio,Virgin,0.0
19,2011,0,Jarno Trulli,Lotus,0.0
20,2011,0,Sergio Pérez,Sauber,0.0
21,2011,0,Rubens Barrichello,Williams,0.0
22,2011,0,Narain Karthikeyan,HRT,0.0
23,2011,0,Pastor Maldonado,Williams,0.0
24,2011,1,Lewis Hamilton,McLaren,25.0
25,2011,1,Sebastian Vettel,Red Bull,18.0
26,2011,1,Mark Webber,Red Bull,15.0
27,2011,1,Jenson Button,McLaren,12.0
28,2011,1,Nico Rosberg,Mercedes,10.0
29,2011,1,Felipe Massa,Ferrari,8.0
30,2011,1,Fernando Alonso,Ferrari,6.0
31,2011,1,Michael Schumacher,Mercedes,4.0
32,2011,1,Vitaly Petrov,Renault,2.0
33,2011,1,Kamui Kobayashi,Sauber,1.0
34,2011,1,Paul di Resta,Force India,0.0
35,2011,1,Nick Heidfeld,Renault,0.0
36,2011,1,Rubens Barrichello,Williams,0.0
37,2011,1,Sébastien Buemi,Toro Rosso,0.0
38,2011,1,Adrian Sutil,Force India,0.0
39,2011,1,Heikki Kovalainen,Lotus,0.0
40,2011,1,Sergio Pérez,Sauber,0.0
41,2011,1,Pastor Maldonado,Williams,0.0
42,2011,1,Jarno Trulli,Lotus,0.0
43,2011,1,Jérôme d'Ambrosio,Virgin,0.0
44,2011,1,Timo Glock,Virgin,0.0
45,2011,1,Vitantonio Liuzzi,HRT,0.0
46,2011,1,Narain Karthikeyan,HRT,0.0
47,2011,1,Jaime Alguersuari,Toro Rosso,0.0
48,2011,2,Sebastian Vettel,Red Bull,25.0
49,2011,2,Mark Webber,Red Bull,18.0
50,2011,2,Fernando Alonso,Ferrari,15.0
51,2011,2,Lewis Hamilton,McLaren,12.0
52,2011,2,Nico Rosberg,Mercedes,10.0
53,2011,2,Jenson Button,McLaren,8.0
54,2011,2,Nick Heidfeld,Renault,6.0
55,2011,2,Vitaly Petrov,Renault,4.0
56,2011,2,Sébastien Buemi,Toro Rosso,2.0
57,2011,2,Kamui Kobayashi,Sauber,1.0
58,2011,2,Felipe Massa,Ferrari,0.0
