,Year,GP,Driver,Team,Points
0,1970,0,Jackie Stewart,March,9.0
1,1970,0,Bruce McLaren,McLaren-Ford,6.0
2,1970,0,Mario Andretti,March,4.0
3,1970,0,Graham Hill,Team Lotus,3.0
4,1970,0,Johnny Servoz-Gavin,March,2.0
5,1970,0,John Surtees,McLaren-Ford,0.0
6,1970,0,Jack Brabham,Brabham,0.0
7,1970,0,Rolf Stommelen,Brabham,0.0
8,1970,0,Henri Pescarolo,Matra,0.0
9,1970,0,Jean-Pierre Beltoise,Matra,0.0
10,1970,0,Denny Hulme,McLaren-Ford,0.0
11,1970,0,Chris Amon,March,0.0
12,1970,0,Jochen Rindt,Team Lotus,0.0
13,1970,0,Pedro Rodríguez,BRM,0.0
14,1970,0,Jacky Ickx,Ferrari,0.0
15,1970,0,Jackie Oliver,BRM,0.0
16,1970,0,Piers Courage,De Tomaso,0.0
17,1970,0,Andrea de Adamich,McLaren-Alfa Romeo,0.0
18,1970,0,John Miles,Team Lotus,0.0
19,1970,0,Jo Siffert,March,0.0
20,1970,0,George Eaton,BRM,0.0
21,1970,0,Alex Soler-Roig,Team Lotus,0.0
22,1970,1,Jochen Rindt,Team Lotus,9.0
23,1970,1,Jack Brabham,Brabham,6.0
24,1970,1,Henri Pescarolo,Matra,4.0
25,1970,1,Denny Hulme,McLaren-Ford,3.0
26,1970,1,Graham Hill,Team Lotus,2.0
27,1970,1,Pedro Rodríguez,BRM,1.0
28,1970,1,Ronnie Peterson,March,0.0
29,1970,1,Jo Siffert,March,0.0
30,1970,1,Chris Amon,March,0.0
31,1970,1,Piers Courage,De Tomaso,0.0
32,1970,1,Jackie Stewart,March,0.0
33,1970,1,Jackie Oliver,BRM,0.0
34,1970,1,Jean-Pierre Beltoise,Matra,0.0
35,1970,1,Bruce McLaren,McLaren-Ford,0.0
36,1970,1,John Surtees,McLaren-Ford,0.0
37,1970,1,Jacky Ickx,Ferrari,0.0
38,1970,1,Andrea de Adamich,McLaren-Alfa Romeo,0.0
39,1970,1,Rolf Stommelen,Brabham,0.0
40,1970,1,George Eaton,BRM,0.0
41,1970,1,John Miles,Team Lotus,0.0
42,1970,1,Johnny Servoz-Gavin,March,0.0
43,1970,2,Pedro Rodríguez,BRM,9.0
44,1970,2,Chris Amon,March,6.0
45,1970,2,Jean-Pierre Beltoise,Matra,4.0
46,1970,2,Ignazio Giunti,Ferrari,3.0
47,1970,2,Rolf Stommelen,Brabham,2.0
48,1970,2,Henri Pescarolo,Matra,1.0
49,1970,2,Jo Siffert,March,0.0
50,1970,2,Jacky Ickx,Ferrari,0.0
51,1970,2,Ronnie Peterson,March,0.0
52,1970,2,Jack Brabham,Brabham,0.0
53,1970,2,Graham Hill,Team Lotus,0.0
54,1970,2,Jackie Stewart,March,0.0
55,1970,2,John Miles,Team Lotus,0.0
56,1970,2,Jochen Rindt,Team Lotus,0.0
57,1970,2,Jackie Oliver,BRM,0.0
58,1970,2,Piers Courage,De Tomaso,0.0
59,1970,2,Derek Bell,Brabham,0.0
60,1970,3,Jochen Rindt,Team Lotus,9.0
61,1970,3,Jackie Stewart,March,6.0
62,1970,3,Jacky Ickx,Ferrari,4.0
63,1970,3,Clay Regazzoni,Ferrari,3.0
64,1970,3,Jean-Pierre Beltoise,Matra,2.0
65,1970,3,John Surtees,McLaren-Ford,1.0
66,1970,3,John Miles,Team Lotus,0.0
67,1970,3,Henri Pescarolo,Matra,0.0
68,1970,3,Ronnie Peterson,March,0.0
