,Year,GP,Driver,Team,Points
0,1961,0,Wolfgang von Trips,Ferrari,9.0
1,1961,0,Phil Hill,Ferrari,6.0
2,1961,0,Jim Clark,Lotus-Climax,4.0
3,1961,0,Stirling Moss,Lotus-Climax,3.0
4,1961,0,Richie Ginther,Ferrari,2.0
5,1961,0,Jack Brabham,Cooper-Climax,1.0
6,1961,0,John Surtees,Cooper-Climax,0.0
7,1961,0,Graham Hill,BRM,0.0
8,1961,0,Tony Brooks,BRM,0.0
9,1961,0,Dan Gurney,Porsche,0.0
10,1961,0,Jo Bonnier,Porsche,0.0
11,1961,0,Bruce McLaren,Cooper-Climax,0.0
12,1961,0,Trevor Taylor,Lotus-Climax,0.0
13,1961,0,Carel Godin de Beaufort,Porsche,0.0
14,1961,0,Hans Herrmann,Porsche,0.0
15,1961,0,Masten Gregory,Cooper-Climax,0.0
16,1961,0,Ian Burgess,Lotus-Climax,0.0
17,1961,1,Phil Hill,Ferrari,9.0
18,1961,1,Wolfgang von Trips,Ferrari,6.0
19,1961,1,Richie Ginther,Ferrari,4.0
20,1961,1,Olivier Gendebien,Ferrari,3.0
21,1961,1,John Surtees,Cooper-Climax,2.0
22,1961,1,Dan Gurney,Porsche,1.0
23,1961,1,Jo Bonnier,Porsche,0.0
24,1961,1,Stirling Moss,Lotus-Climax,0.0
25,1961,1,Jackie Lewis,Cooper-Climax,0.0
26,1961,1,Masten Gregory,Cooper-Climax,0.0
27,1961,1,Carel Godin de Beaufort,Porsche,0.0
28,1961,1,Jim Clark,Lotus-Climax,0.0
29,1961,1,Tony Brooks,BRM,0.0
30,1961,1,Graham Hill,BRM,0.0
31,1961,1,Maurice Trintignant,Cooper-Maserati,0.0
32,1961,1,Lorenzo Bandini,Cooper-Maserati,0.0
33,1961,1,Jack Brabham,Cooper-Climax,0.0
34,1961,1,Bruce McLaren,Cooper-Climax,0.0
35,1961,1,Innes Ireland,Lotus-Climax,0.0
36,1961,1,Lucien Bianchi,Lotus-Climax,0.0
37,1961,1,Willy Mairesse,Lotus-Climax,0.0
38,1961,1,Tony Marsh,Lotus-Climax,0.0
39,1961,1,Wolfgang Seidel,Lotus-Climax,0.0
40,1961,1,Ian Burgess,Lotus-Climax,0.0
41,1961,1,Cliff Allison,Lotus-Climax,0.0
42,1961,1,Henry Taylor,Lotus-Climax,0.0
43,1961,2,Giancarlo Baghetti,Ferrari,9.0
44,1961,2,Dan Gurney,Porsche,6.0
45,1961,2,Jim Clark,Lotus-Climax,4.0
46,1961,2,Innes Ireland,Lotus-Climax,3.0
47,1961,2,Bruce McLaren,Cooper-Climax,2.0
48,1961,2,Graham Hill,BRM,1.0
49,1961,2,Jo Bonnier,Porsche,0.0
50,1961,2,Roy Salvadori,Cooper-Climax,0.0
51,1961,2,Phil Hill,Ferrari,0.0
52,1961,2,Henry Taylor,Lotus-Climax,0.0
53,1961,2,Michael May,Lotus-Climax,0.0
54,1961,2,Masten Gregory,Cooper-Climax,0.0
55,1961,2,Maurice Trintignant,Cooper-Maserati,0.0
56,1961,2,Ian Burgess,Lotus-Climax,0.0
57,1961,2,Richie Ginther,Ferrari,0.0
58,1961,2,Stirling Moss,Lotus-Climax,0.0
59,1961,2,Willy Mairesse,Lotus-Climax,0.0
60,1961,2,Carel Godin de Beaufort,Porsche,0.0
61,1961,2,Lucien Bianchi,Lotus-Climax,0.0
62,1961,2,Wolfgang von Trips,Ferrari,0.0
63,1961,2,Giorgio Scarlatti,De Tomaso-Osca,0.0
64,1961,2,Jack Brabham,Cooper-Climax,0.0
65,1961,2,Bernard Collomb,Cooper-Climax,0.0
66,1961,2,John Surtees,Cooper-Climax,0.0
67,1961,2,Tony Brooks,BRM,0.0
68,1961,2,Jackie Lewis,Cooper-Climax,0.0
69,1961,2,Wolfgang Seidel,Lotus-Climax,0.0
70,1961,2,Juan Manuel Bordeu,Lotus-Climax,0.0
71,1961,2,Hans Herrmann,Porsche,0.0
72,1961,2,Olivier Gendebien,Emeryson,0.0
73,1961,3,Wolfgang von Trips,Ferrari,9.0
74,1961,3,Phil Hill,Ferrari,6.0
75,1961,3,Richie Ginther,Ferrari,4.0
76,1961,3,Jack Brabham,Cooper-Climax,3.0
77,1961,3,Jo Bonnier,Porsche,2.0
78,1961,3,Roy Salvadori,Cooper-Climax,1.0
79,1961,3,Dan Gurney,Porsche,0.0
80,1961,3,Bruce McLaren,Cooper-Climax,0.0
81,1961,3,Tony Brooks,BRM,0.0
82,1961,3,Innes Ireland,Lotus-Climax,0.0
83,1961,3,Masten Gregory,Cooper-Climax,0.0
84,1961,3,Lorenzo Bandini,Cooper-Maserati,0.0
85,1961,3,Tony Maggs,Lotus-Climax,0.0
86,1961,3,Ian Burgess,Lotus-Climax,0.0
87,1961,3,Keith Greene,Gilby,0.0
88,1961,3,Carel Godin de Beaufort,Porsche,0.0
89,1961,3,Wolfgang Seidel,Lotus-Climax,0.0
90,1961,3,Jim Clark,Lotus-Climax,0.0
91,1961,3,Jack Fairman,Ferguson,0.0
92,1961,3,Stirling Moss,Ferguson,0.0
93,1961,3,Lucien Bianchi,Lotus-Climax,0.0
94,1961,3,Stirling Moss,Lotus-Climax,0.0
95,1961,3,Graham Hill,BRM,0.0
96,1961,3,Giancarlo Baghetti,Ferrari,0.0
97,1961,3,Tony Marsh,Lotus-Climax,0.0
98,1961,3,John Surtees,Cooper-Climax,0.0
99,1961,3,Tim Parnell,Lotus-Climax,0.0
100,1961,3,Jackie Lewis,Cooper-Climax,0.0
101,1961,3,Gerry Ashmore,Lotus-Climax,0.0
102,1961,3,Henry Taylor,Lotus-Climax,0.0
103,1961,4,Stirling Moss,Lotus-Climax,9.0
104,1961,4,Wolfgang von Trips,Ferrari,6.0
105,1961,4,Phil Hill,Ferrari,4.0
106,1961,4,Jim Clark,Lotus-Climax,3.0
107,1961,4,John Surtees,Cooper-Climax,2.0
108,1961,4,Bruce McLaren,Cooper-Climax,1.0
109,1961,4,Dan Gurney,Porsche,0.0
110,1961,4,Richie Ginther,Ferrari,0.0
111,1961,4,Jackie Lewis,Cooper-Climax,0.0
112,1961,4,Roy Salvadori,Cooper-Climax,0.0
113,1961,4,Tony Maggs,Lotus-Climax,0.0
114,1961,4,Ian Burgess,Cooper-Climax,0.0
115,1961,4,Hans Herrmann,Porsche,0.0
116,1961,4,Carel Godin de Beaufort,Porsche,0.0
117,1961,4,Tony Marsh,Lotus-Climax,0.0
118,1961,4,Gerry Ashmore,Lotus-Climax,0.0
119,1961,4,Willy Mairesse,Ferrari,0.0
120,1961,4,Maurice Trintignant,Cooper-Maserati,0.0
121,1961,4,Bernard Collomb,Cooper-Climax,0.0
122,1961,4,Lorenzo Bandini,Cooper-Maserati,0.0
123,1961,4,Tony Brooks,BRM,0.0
124,1961,4,Jo Bonnier,Porsche,0.0
125,1961,4,Wolfgang Seidel,Lotus-Climax,0.0
126,1961,4,Graham Hill,BRM,0.0
127,1961,4,Innes Ireland,Lotus-Climax,0.0
128,1961,4,Jack Brabham,Cooper-Climax,0.0
129,1961,4,Edgar Barth,Porsche,0.0
130,1961,4,Masten Gregory,Cooper-Climax,0.0
131,1961,4,Michael May,Lotus-Climax,0.0
132,1961,4,Peter Monteverdi,MBM,0.0
133,1961,5,Phil Hill,Ferrari,9.0
134,1961,5,Dan Gurney,Porsche,6.0
135,1961,5,Bruce McLaren,Cooper-Climax,4.0
136,1961,5,Jackie Lewis,Cooper-Climax,3.0
137,1961,5,Tony Brooks,BRM,2.0
138,1961,5,Roy Salvadori,Cooper-Climax,1.0
139,1961,5,Carel Godin de Beaufort,Porsche,0.0
140,1961,5,Lorenzo Bandini,Cooper-Maserati,0.0
141,1961,5,Maurice Trintignant,Cooper-Maserati,0.0
142,1961,5,Tim Parnell,Lotus-Climax,0.0
143,1961,5,Henry Taylor,Lotus-Climax,0.0
144,1961,5,Renato Pirocchi,Cooper-Maserati,0.0
145,1961,5,Stirling Moss,Lotus-Climax,0.0
146,1961,5,Richie Ginther,Ferrari,0.0
147,1961,5,Gaetano Starrabba,Lotus-Maserati,0.0
148,1961,5,Jo Bonnier,Porsche,0.0
149,1961,5,Ricardo Rodríguez,Ferrari,0.0
150,1961,5,Giancarlo Baghetti,Ferrari,0.0
151,1961,5,Nino Vaccarella,De Tomaso-Alfa Romeo,0.0
152,1961,5,Masten Gregory,Lotus-Climax,0.0
153,1961,5,Graham Hill,BRM,0.0
154,1961,5,Jack Brabham,Cooper-Climax,0.0
155,1961,5,Brian Naylor,JBW,0.0
156,1961,5,Innes Ireland,Lotus-Climax,0.0
157,1961,5,Jack Fairman,Cooper-Climax,0.0
158,1961,5,John Surtees,Cooper-Climax,0.0
159,1961,5,Wolfgang von Trips,Ferrari,0.0
160,1961,5,Jim Clark,Lotus-Climax,0.0
161,1961,5,Roberto Bussinello,De Tomaso-Alfa Romeo,0.0
162,1961,5,Wolfgang Seidel,Lotus-Climax,0.0
