,Year,GP,Driver,Team,Points
0,1962,0,Bruce McLaren,Cooper-Climax,9.0
1,1962,0,Phil Hill,Ferrari,6.0
2,1962,0,Lorenzo Bandini,Ferrari,4.0
3,1962,0,John Surtees,Lola,3.0
4,1962,0,Jo Bonnier,Porsche,2.0
5,1962,0,Graham Hill,BRM,1.0
6,1962,0,Willy Mairesse,Ferrari,0.0
7,1962,0,Jack Brabham,Lotus-Climax,0.0
8,1962,0,Innes Ireland,Lotus-Climax,0.0
9,1962,0,Jim Clark,Lotus-Climax,0.0
10,1962,0,Roy Salvadori,Lola,0.0
11,1962,0,Tony Maggs,Cooper-Climax,0.0
12,1962,0,Trevor Taylor,Lotus-Climax,0.0
13,1962,0,Dan Gurney,Porsche,0.0
14,1962,0,Maurice Trintignant,Lotus-Climax,0.0
15,1962,0,Richie Ginther,BRM,0.0
16,1962,0,Jo Siffert,Lotus-Climax,0.0
17,1962,0,Jackie Lewis,BRM,0.0
18,1962,0,Masten Gregory,Lotus-BRM,0.0
19,1962,0,Carel Godin de Beaufort,Porsche,0.0
20,1962,0,Nino Vaccarella,Lotus-Climax,0.0
21,1962,0,Ricardo Rodríguez,Ferrari,0.0
22,1962,0,Roberto Bussinello,De Tomaso-Alfa Romeo,0.0
23,1962,0,Tony Marsh,BRM,0.0
24,1962,1,Jim Clark,Lotus-Climax,9.0
25,1962,1,Graham Hill,BRM,6.0
26,1962,1,Phil Hill,Ferrari,4.0
27,1962,1,Ricardo Rodríguez,Ferrari,3.0
28,1962,1,John Surtees,Lola,2.0
29,1962,1,Jack Brabham,Lotus-Climax,1.0
30,1962,1,Carel Godin de Beaufort,Porsche,0.0
31,1962,1,Maurice Trintignant,Lotus-Climax,0.0
32,1962,1,Lucien Bianchi,Lotus-Climax,0.0
33,1962,1,Jo Siffert,Lotus-Climax,0.0
34,1962,1,John Campbell-Jones,Lotus-Climax,0.0
35,1962,1,Trevor Taylor,Lotus-Climax,0.0
36,1962,1,Willy Mairesse,Ferrari,0.0
37,1962,1,Richie Ginther,BRM,0.0
