,Year,GP,Driver,Team,Points
0,2016,0,Nico Rosberg,Mercedes,25.0
1,2016,0,Kimi Räikkönen,Ferrari,18.0
2,2016,0,Lewis Hamilton,Mercedes,15.0
3,2016,0,Daniel Ricciardo,Red Bull,12.0
4,2016,0,Romain Grosjean,Haas F1 Team,10.0
5,2016,0,Max Verstappen,Toro Rosso,8.0
6,2016,0,Daniil Kvyat,Red Bull,6.0
7,2016,0,Felipe Massa,Williams,4.0
8,2016,0,Valtteri Bottas,Williams,2.0
9,2016,0,Stoffel Vandoorne,McLaren,1.0
10,2016,0,Kevin Magnussen,Renault,0.0
11,2016,0,Marcus Ericsson,Sauber,0.0
12,2016,0,Pascal Wehrlein,Manor Marussia,0.0
13,2016,0,Felipe Nasr,Sauber,0.0
14,2016,0,Nico Hülkenberg,Force India,0.0
15,2016,0,Sergio Pérez,Force India,0.0
16,2016,0,Rio Haryanto,Manor Marussia,0.0
17,2016,0,Carlos Sainz,Toro Rosso,0.0
18,2016,0,Esteban Gutiérrez,Haas F1 Team,0.0
19,2016,0,Jenson Button,McLaren,0.0
20,2016,0,Sebastian Vettel,Ferrari,0.0
21,2016,0,Jolyon Palmer,Renault,0.0
22,2016,1,Nico Rosberg,Mercedes,25.0
23,2016,1,Sebastian Vettel,Ferrari,18.0
24,2016,1,Daniil Kvyat,Red Bull,15.0
25,2016,1,Daniel Ricciardo,Red Bull,12.0
26,2016,1,Kimi Räikkönen,Ferrari,10.0
27,2016,1,Felipe Massa,Williams,8.0
28,2016,1,Lewis Hamilton,Mercedes,6.0
29,2016,1,Max Verstappen,Toro Rosso,4.0
30,2016,1,Carlos Sainz,Toro Rosso,2.0
31,2016,1,Valtteri Bottas,Williams,1.0
32,2016,1,Sergio Pérez,Force India,0.0
33,2016,1,Fernando Alonso,McLaren,0.0
34,2016,1,Jenson Button,McLaren,0.0
35,2016,1,Esteban Gutiérrez,Haas F1 Team,0.0
36,2016,1,Nico Hülkenberg,Force India,0.0
37,2016,1,Marcus Ericsson,Sauber,0.0
38,2016,1,Kevin Magnussen,Renault,0.0
39,2016,1,Pascal Wehrlein,Manor Marussia,0.0
40,2016,1,Romain Grosjean,Haas F1 Team,0.0
41,2016,1,Felipe Nasr,Sauber,0.0
42,2016,1,Rio Haryanto,Manor Marussia,0.0
43,2016,1,Jolyon Palmer,Renault,0.0
44,2016,2,Nico Rosberg,Mercedes,25.0
45,2016,2,Lewis Hamilton,Mercedes,18.0
46,2016,2,Kimi Räikkönen,Ferrari,15.0
47,2016,2,Valtteri Bottas,Williams,12.0
48,2016,2,Felipe Massa,Williams,10.0
49,2016,2,Fernando Alonso,McLaren,8.0
50,2016,2,Kevin Magnussen,Renault,6.0
51,2016,2,Romain Grosjean,Haas F1 Team,4.0
52,2016,2,Sergio Pérez,Force India,2.0
53,2016,2,Jenson Button,McLaren,1.0
54,2016,2,Daniel Ricciardo,Red Bull,0.0
55,2016,2,Carlos Sainz,Toro Rosso,0.0
56,2016,2,Jolyon Palmer,Renault,0.0
57,2016,2,Marcus Ericsson,Sauber,0.0
58,2016,2,Daniil Kvyat,Red Bull,0.0
59,2016,2,Felipe Nasr,Sauber,0.0
60,2016,2,Esteban Gutiérrez,Haas F1 Team,0.0
61,2016,2,Pascal Wehrlein,Manor Marussia,0.0
62,2016,2,Max Verstappen,Toro Rosso,0.0
63,2016,2,Sebastian Vettel,Ferrari,0.0
64,2016,2,Nico Hülkenberg,Force India,0.0
65,2016,2,Rio Haryanto,Manor Marussia,0.0
66,2016,3,Max Verstappen,Red Bull,25.0
67,2016,3,Kimi Räikkönen,Ferrari,18.0
68,2016,3,Sebastian Vettel,Ferrari,15.0
69,2016,3,Daniel Ricciardo,Red Bull,12.0
70,2016,3,Valtteri Bottas,Williams,10.0
71,2016,3,Carlos Sainz,Toro Rosso,8.0
72,2016,3,Sergio Pérez,Force India,6.0
73,2016,3,Felipe Massa,Williams,4.0
74,2016,3,Jenson Button,McLaren,2.0
75,2016,3,Daniil Kvyat,Toro Rosso,1.0
76,2016,3,Esteban Gutiérrez,Haas F1 Team,0.0
77,2016,3,Marcus Ericsson,Sauber,0.0
78,2016,3,Jolyon Palmer,Renault,0.0
79,2016,3,Kevin Magnussen,Renault,0.0
80,2016,3,Felipe Nasr,Sauber,0.0
81,2016,3,Pascal Wehrlein,Manor Marussia,0.0
82,2016,3,Rio Haryanto,Manor Marussia,0.0
83,2016,3,Romain Grosjean,Haas F1 Team,0.0
84,2016,3,Fernando Alonso,McLaren,0.0
85,2016,3,Nico Hülkenberg,Force India,0.0
86,2016,3,Lewis Hamilton,Mercedes,0.0
87,2016,3,Nico Rosberg,Mercedes,0.0
88,2016,4,Lewis Hamilton,Mercedes,25.0
89,2016,4,Daniel Ricciardo,Red Bull,18.0
90,2016,4,Sergio Pérez,Force India,15.0
91,2016,4,Sebastian Vettel,Ferrari,12.0
92,2016,4,Fernando Alonso,McLaren,10.0
93,2016,4,Nico Hülkenberg,Force India,8.0
94,2016,4,Nico Rosberg,Mercedes,6.0
95,2016,4,Carlos Sainz,Toro Rosso,4.0
96,2016,4,Jenson Button,McLaren,2.0
97,2016,4,Felipe Massa,Williams,1.0
98,2016,4,Esteban Gutiérrez,Haas F1 Team,0.0
99,2016,4,Valtteri Bottas,Williams,0.0
100,2016,4,Romain Grosjean,Haas F1 Team,0.0
101,2016,4,Pascal Wehrlein,Manor Marussia,0.0
102,2016,4,Rio Haryanto,Manor Marussia,0.0
103,2016,4,Marcus Ericsson,Sauber,0.0
104,2016,4,Felipe Nasr,Sauber,0.0
105,2016,4,Max Verstappen,Red Bull,0.0
106,2016,4,Kevin Magnussen,Renault,0.0
107,2016,4,Daniil Kvyat,Toro Rosso,0.0
108,2016,4,Kimi Räikkönen,Ferrari,0.0
109,2016,4,Jolyon Palmer,Renault,0.0
110,2016,5,Lewis Hamilton,Mercedes,25.0
111,2016,5,Sebastian Vettel,Ferrari,18.0
112,2016,5,Valtteri Bottas,Williams,15.0
113,2016,5,Max Verstappen,Red Bull,12.0
114,2016,5,Nico Rosberg,Mercedes,10.0
115,2016,5,Kimi Räikkönen,Ferrari,8.0
116,2016,5,Daniel Ricciardo,Red Bull,6.0
117,2016,5,Nico Hülkenberg,Force India,4.0
118,2016,5,Carlos Sainz,Toro Rosso,2.0
119,2016,5,Sergio Pérez,Force India,1.0
120,2016,5,Fernando Alonso,McLaren,0.0
121,2016,5,Daniil Kvyat,Toro Rosso,0.0
122,2016,5,Esteban Gutiérrez,Haas F1 Team,0.0
123,2016,5,Romain Grosjean,Haas F1 Team,0.0
124,2016,5,Marcus Ericsson,Sauber,0.0
125,2016,5,Kevin Magnussen,Renault,0.0
126,2016,5,Pascal Wehrlein,Manor Marussia,0.0
127,2016,5,Felipe Nasr,Sauber,0.0
128,2016,5,Rio Haryanto,Manor Marussia,0.0
129,2016,5,Felipe Massa,Williams,0.0
130,2016,5,Jolyon Palmer,Renault,0.0
131,2016,5,Jenson Button,McLaren,0.0
132,2016,6,Nico Rosberg,Mercedes,25.0
133,2016,6,Sebastian Vettel,Ferrari,18.0
134,2016,6,Sergio Pérez,Force India,15.0
135,2016,6,Kimi Räikkönen,Ferrari,12.0
136,2016,6,Lewis Hamilton,Mercedes,10.0
137,2016,6,Valtteri Bottas,Williams,8.0
138,2016,6,Daniel Ricciardo,Red Bull,6.0
139,2016,6,Max Verstappen,Red Bull,4.0
140,2016,6,Nico Hülkenberg,Force India,2.0
141,2016,6,Felipe Massa,Williams,1.0
142,2016,6,Jenson Button,McLaren,0.0
143,2016,6,Felipe Nasr,Sauber,0.0
144,2016,6,Romain Grosjean,Haas F1 Team,0.0
145,2016,6,Kevin Magnussen,Renault,0.0
146,2016,6,Jolyon Palmer,Renault,0.0
147,2016,6,Esteban Gutiérrez,Haas F1 Team,0.0
148,2016,6,Marcus Ericsson,Sauber,0.0
149,2016,6,Rio Haryanto,Manor Marussia,0.0
150,2016,6,Fernando Alonso,McLaren,0.0
151,2016,6,Pascal Wehrlein,Manor Marussia,0.0
152,2016,6,Carlos Sainz,Toro Rosso,0.0
153,2016,6,Daniil Kvyat,Toro Rosso,0.0
154,2016,7,Lewis Hamilton,Mercedes,25.0
155,2016,7,Max Verstappen,Red Bull,18.0
156,2016,7,Kimi Räikkönen,Ferrari,15.0
157,2016,7,Nico Rosberg,Mercedes,12.0
158,2016,7,Daniel Ricciardo,Red Bull,10.0
159,2016,7,Jenson Button,McLaren,8.0
160,2016,7,Romain Grosjean,Haas F1 Team,6.0
161,2016,7,Carlos Sainz,Toro Rosso,4.0
162,2016,7,Valtteri Bottas,Williams,2.0
163,2016,7,Pascal Wehrlein,Manor Marussia,1.0
