,Year,GP,Driver,Team,Points
0,1997,0,Jacques Villeneuve,Williams,10.0
1,1997,0,Gerhard Berger,Benetton,6.0
2,1997,0,Olivier Panis,Prost,4.0
3,1997,0,Mika Häkkinen,McLaren,3.0
4,1997,0,Michael Schumacher,Ferrari,2.0
5,1997,0,Jean Alesi,Benetton,1.0
6,1997,0,Johnny Herbert,Sauber,0.0
7,1997,0,Giancarlo Fisichella,Jordan,0.0
8,1997,0,Heinz-Harald Frentzen,Williams,0.0
9,1997,0,David Coulthard,McLaren,0.0
10,1997,0,Nicola Larini,Sauber,0.0
11,1997,0,Jarno Trulli,Minardi,0.0
12,1997,0,Mika Salo,Tyrrell,0.0
13,1997,0,Shinji Nakano,Prost,0.0
14,1997,0,Jos Verstappen,Tyrrell,0.0
15,1997,0,Eddie Irvine,Ferrari,0.0
16,1997,0,Damon Hill,Arrows,0.0
17,1997,0,Ukyo Katayama,Minardi,0.0
18,1997,0,Ralf Schumacher,Jordan,0.0
19,1997,0,Rubens Barrichello,Stewart,0.0
20,1997,0,Pedro Diniz,Arrows,0.0
21,1997,0,Jan Magnussen,Stewart,0.0
22,1997,1,Jacques Villeneuve,Williams,10.0
23,1997,1,Eddie Irvine,Ferrari,6.0
24,1997,1,Ralf Schumacher,Jordan,4.0
25,1997,1,Johnny Herbert,Sauber,3.0
26,1997,1,Mika Häkkinen,McLaren,2.0
27,1997,1,Gerhard Berger,Benetton,1.0
28,1997,1,Jean Alesi,Benetton,0.0
29,1997,1,Mika Salo,Tyrrell,0.0
30,1997,1,Jarno Trulli,Minardi,0.0
31,1997,1,Jan Magnussen,Stewart,0.0
32,1997,1,Nicola Larini,Sauber,0.0
33,1997,1,Pedro Diniz,Arrows,0.0
34,1997,1,Shinji Nakano,Prost,0.0
35,1997,1,Jos Verstappen,Tyrrell,0.0
36,1997,1,Ukyo Katayama,Minardi,0.0
37,1997,1,Damon Hill,Arrows,0.0
38,1997,1,Giancarlo Fisichella,Jordan,0.0
39,1997,1,Rubens Barrichello,Stewart,0.0
40,1997,1,Olivier Panis,Prost,0.0
41,1997,1,Heinz-Harald Frentzen,Williams,0.0
42,1997,1,Michael Schumacher,Ferrari,0.0
43,1997,1,David Coulthard,McLaren,0.0
44,1997,2,Heinz-Harald Frentzen,Williams,10.0
45,1997,2,Michael Schumacher,Ferrari,6.0
46,1997,2,Eddie Irvine,Ferrari,4.0
47,1997,2,Giancarlo Fisichella,Jordan,3.0
48,1997,2,Jean Alesi,Benetton,2.0
49,1997,2,Mika Häkkinen,McLaren,1.0
50,1997,2,Nicola Larini,Sauber,0.0
51,1997,2,Olivier Panis,Prost,0.0
52,1997,2,Mika Salo,Tyrrell,0.0
53,1997,2,Jos Verstappen,Tyrrell,0.0
54,1997,2,Ukyo Katayama,Minardi,0.0
55,1997,2,Pedro Diniz,Arrows,0.0
56,1997,2,Jacques Villeneuve,Williams,0.0
57,1997,2,David Coulthard,McLaren,0.0
58,1997,2,Rubens Barrichello,Stewart,0.0
59,1997,2,Johnny Herbert,Sauber,0.0
60,1997,2,Ralf Schumacher,Jordan,0.0
61,1997,2,Shinji Nakano,Prost,0.0
62,1997,2,Damon Hill,Arrows,0.0
63,1997,2,Gerhard Berger,Benetton,0.0
64,1997,2,Jan Magnussen,Stewart,0.0
65,1997,2,Jarno Trulli,Minardi,0.0
66,1997,3,Michael Schumacher,Ferrari,10.0
67,1997,3,Rubens Barrichello,Stewart,6.0
68,1997,3,Eddie Irvine,Ferrari,4.0
69,1997,3,Olivier Panis,Prost,3.0
70,1997,3,Mika Salo,Tyrrell,2.0
71,1997,3,Giancarlo Fisichella,Jordan,1.0
72,1997,3,Jan Magnussen,Stewart,0.0
73,1997,3,Jos Verstappen,Tyrrell,0.0
74,1997,3,Gerhard Berger,Benetton,0.0
75,1997,3,Ukyo Katayama,Minardi,0.0
76,1997,3,Heinz-Harald Frentzen,Williams,0.0
77,1997,3,Shinji Nakano,Prost,0.0
78,1997,3,Nicola Larini,Sauber,0.0
79,1997,3,Jean Alesi,Benetton,0.0
80,1997,3,Jacques Villeneuve,Williams,0.0
81,1997,3,Ralf Schumacher,Jordan,0.0
82,1997,3,Johnny Herbert,Sauber,0.0
83,1997,3,Jarno Trulli,Minardi,0.0
84,1997,3,David Coulthard,McLaren,0.0
85,1997,3,Mika Häkkinen,McLaren,0.0
86,1997,3,Damon Hill,Arrows,0.0
87,1997,3,Pedro Diniz,Arrows,0.0
88,1997,4,Jacques Villeneuve,Williams,10.0
89,1997,4,Olivier Panis,Prost,6.0
90,1997,4,Jean Alesi,Benetton,4.0
91,1997,4,Michael Schumacher,Ferrari,3.0
92,1997,4,Johnny Herbert,Sauber,2.0
93,1997,4,David Coulthard,McLaren,1.0
94,1997,4,Mika Häkkinen,McLaren,0.0
95,1997,4,Heinz-Harald Frentzen,Williams,0.0
96,1997,4,Giancarlo Fisichella,Jordan,0.0
97,1997,4,Gerhard Berger,Benetton,0.0
98,1997,4,Jos Verstappen,Tyrrell,0.0
99,1997,4,Eddie Irvine,Ferrari,0.0
100,1997,4,Jan Magnussen,Stewart,0.0
101,1997,4,Gianni Morbidelli,Sauber,0.0
102,1997,4,Jarno Trulli,Minardi,0.0
103,1997,4,Pedro Diniz,Arrows,0.0
104,1997,4,Ralf Schumacher,Jordan,0.0
105,1997,4,Rubens Barrichello,Stewart,0.0
106,1997,4,Mika Salo,Tyrrell,0.0
107,1997,4,Shinji Nakano,Prost,0.0
108,1997,4,Damon Hill,Arrows,0.0
109,1997,4,Ukyo Katayama,Minardi,0.0
110,1997,5,Michael Schumacher,Ferrari,10.0
111,1997,5,Jean Alesi,Benetton,6.0
112,1997,5,Giancarlo Fisichella,Jordan,4.0
113,1997,5,Heinz-Harald Frentzen,Williams,3.0
114,1997,5,Johnny Herbert,Sauber,2.0
115,1997,5,Shinji Nakano,Prost,1.0
116,1997,5,David Coulthard,McLaren,0.0
117,1997,5,Pedro Diniz,Arrows,0.0
118,1997,5,Damon Hill,Arrows,0.0
119,1997,5,Gianni Morbidelli,Sauber,0.0
120,1997,5,Olivier Panis,Prost,0.0
121,1997,5,Mika Salo,Tyrrell,0.0
122,1997,5,Jos Verstappen,Tyrrell,0.0
123,1997,5,Alexander Wurz,Benetton,0.0
124,1997,5,Rubens Barrichello,Stewart,0.0
125,1997,5,Jarno Trulli,Minardi,0.0
126,1997,5,Ralf Schumacher,Jordan,0.0
127,1997,5,Ukyo Katayama,Minardi,0.0
128,1997,5,Jacques Villeneuve,Williams,0.0
129,1997,5,Mika Häkkinen,McLaren,0.0
130,1997,5,Eddie Irvine,Ferrari,0.0
131,1997,5,Jan Magnussen,Stewart,0.0
132,1997,6,Michael Schumacher,Ferrari,10.0
133,1997,6,Heinz-Harald Frentzen,Williams,6.0
134,1997,6,Eddie Irvine,Ferrari,4.0
135,1997,6,Jacques Villeneuve,Williams,3.0
136,1997,6,Jean Alesi,Benetton,2.0
137,1997,6,Ralf Schumacher,Jordan,1.0
138,1997,6,David Coulthard,McLaren,0.0
139,1997,6,Johnny Herbert,Sauber,0.0
140,1997,6,Giancarlo Fisichella,Jordan,0.0
141,1997,6,Jarno Trulli,Prost,0.0
142,1997,6,Ukyo Katayama,Minardi,0.0
143,1997,6,Damon Hill,Arrows,0.0
144,1997,6,Mika Salo,Tyrrell,0.0
145,1997,6,Alexander Wurz,Benetton,0.0
146,1997,6,Pedro Diniz,Arrows,0.0
147,1997,6,Norberto Fontana,Sauber,0.0
148,1997,6,Rubens Barrichello,Stewart,0.0
149,1997,6,Jan Magnussen,Stewart,0.0
150,1997,6,Mika Häkkinen,McLaren,0.0
151,1997,6,Jos Verstappen,Tyrrell,0.0
152,1997,6,Shinji Nakano,Prost,0.0
153,1997,6,Tarso Marques,Minardi,0.0
154,1997,7,Jacques Villeneuve,Williams,10.0
155,1997,7,Jean Alesi,Benetton,6.0
156,1997,7,Alexander Wurz,Benetton,4.0
157,1997,7,David Coulthard,McLaren,3.0
158,1997,7,Ralf Schumacher,Jordan,2.0
159,1997,7,Damon Hill,Arrows,1.0
160,1997,7,Giancarlo Fisichella,Jordan,0.0
161,1997,7,Jarno Trulli,Prost,0.0
162,1997,7,Norberto Fontana,Sauber,0.0
163,1997,7,Tarso Marques,Minardi,0.0
164,1997,7,Shinji Nakano,Prost,0.0
165,1997,7,Mika Häkkinen,McLaren,0.0
166,1997,7,Jan Magnussen,Stewart,0.0
167,1997,7,Jos Verstappen,Tyrrell,0.0
168,1997,7,Eddie Irvine,Ferrari,0.0
169,1997,7,Mika Salo,Tyrrell,0.0
170,1997,7,Johnny Herbert,Sauber,0.0
171,1997,7,Michael Schumacher,Ferrari,0.0
172,1997,7,Rubens Barrichello,Stewart,0.0
173,1997,7,Pedro Diniz,Arrows,0.0
174,1997,7,Heinz-Harald Frentzen,Williams,0.0
175,1997,7,Ukyo Katayama,Minardi,0.0
176,1997,8,Gerhard Berger,Benetton,10.0
177,1997,8,Michael Schumacher,Ferrari,6.0
178,1997,8,Mika Häkkinen,McLaren,4.0
179,1997,8,Jarno Trulli,Prost,3.0
180,1997,8,Ralf Schumacher,Jordan,2.0
181,1997,8,Jean Alesi,Benetton,1.0
182,1997,8,Shinji Nakano,Prost,0.0
183,1997,8,Damon Hill,Arrows,0.0
184,1997,8,Norberto Fontana,Sauber,0.0
185,1997,8,Jos Verstappen,Tyrrell,0.0
186,1997,8,Giancarlo Fisichella,Jordan,0.0
187,1997,8,Rubens Barrichello,Stewart,0.0
188,1997,8,Mika Salo,Tyrrell,0.0
189,1997,8,Jacques Villeneuve,Williams,0.0
190,1997,8,Jan Magnussen,Stewart,0.0
191,1997,8,Ukyo Katayama,Minardi,0.0
192,1997,8,Johnny Herbert,Sauber,0.0
193,1997,8,Pedro Diniz,Arrows,0.0
194,1997,8,David Coulthard,McLaren,0.0
195,1997,8,Heinz-Harald Frentzen,Williams,0.0
196,1997,8,Eddie Irvine,Ferrari,0.0
197,1997,8,Tarso Marques,Minardi,0.0
198,1997,9,Jacques Villeneuve,Williams,10.0
199,1997,9,Damon Hill,Arrows,6.0
200,1997,9,Johnny Herbert,Sauber,4.0
201,1997,9,Michael Schumacher,Ferrari,3.0
202,1997,9,Ralf Schumacher,Jordan,2.0
203,1997,9,Shinji Nakano,Prost,1.0
204,1997,9,Jarno Trulli,Prost,0.0
205,1997,9,Gerhard Berger,Benetton,0.0
206,1997,9,Eddie Irvine,Ferrari,0.0
207,1997,9,Ukyo Katayama,Minardi,0.0
208,1997,9,Jean Alesi,Benetton,0.0
209,1997,9,Tarso Marques,Minardi,0.0
210,1997,9,Mika Salo,Tyrrell,0.0
211,1997,9,David Coulthard,McLaren,0.0
212,1997,9,Jos Verstappen,Tyrrell,0.0
213,1997,9,Pedro Diniz,Arrows,0.0
214,1997,9,Giancarlo Fisichella,Jordan,0.0
215,1997,9,Heinz-Harald Frentzen,Williams,0.0
216,1997,9,Rubens Barrichello,Stewart,0.0
217,1997,9,Mika Häkkinen,McLaren,0.0
218,1997,9,Gianni Morbidelli,Sauber,0.0
219,1997,9,Jan Magnussen,Stewart,0.0
220,1997,10,Michael Schumacher,Ferrari,10.0
221,1997,10,Giancarlo Fisichella,Jordan,6.0
222,1997,10,Heinz-Harald Frentzen,Williams,4.0
223,1997,10,Johnny Herbert,Sauber,3.0
224,1997,10,Jacques Villeneuve,Williams,2.0
225,1997,10,Gerhard Berger,Benetton,1.0
226,1997,10,Pedro Diniz,Arrows,0.0
227,1997,10,Jean Alesi,Benetton,0.0
228,1997,10,Gianni Morbidelli,Sauber,0.0
229,1997,10,Eddie Irvine,Ferrari,0.0
230,1997,10,Mika Salo,Tyrrell,0.0
231,1997,10,Jan Magnussen,Stewart,0.0
232,1997,10,Damon Hill,Arrows,0.0
233,1997,10,Ukyo Katayama,Minardi,0.0
234,1997,10,Jarno Trulli,Prost,0.0
235,1997,10,Mika Häkkinen,McLaren,0.0
236,1997,10,Jos Verstappen,Tyrrell,0.0
237,1997,10,Ralf Schumacher,Jordan,0.0
238,1997,10,David Coulthard,McLaren,0.0
239,1997,10,Tarso Marques,Minardi,0.0
240,1997,10,Rubens Barrichello,Stewart,0.0
241,1997,10,Shinji Nakano,Prost,0.0
242,1997,11,David Coulthard,McLaren,10.0
243,1997,11,Jean Alesi,Benetton,6.0
244,1997,11,Heinz-Harald Frentzen,Williams,4.0
245,1997,11,Giancarlo Fisichella,Jordan,3.0
246,1997,11,Jacques Villeneuve,Williams,2.0
247,1997,11,Michael Schumacher,Ferrari,1.0
248,1997,11,Gerhard Berger,Benetton,0.0
249,1997,11,Eddie Irvine,Ferrari,0.0
250,1997,11,Mika Häkkinen,McLaren,0.0
251,1997,11,Jarno Trulli,Prost,0.0
252,1997,11,Shinji Nakano,Prost,0.0
253,1997,11,Gianni Morbidelli,Sauber,0.0
254,1997,11,Rubens Barrichello,Stewart,0.0
255,1997,11,Tarso Marques,Minardi,0.0
256,1997,11,Damon Hill,Arrows,0.0
257,1997,11,Ralf Schumacher,Jordan,0.0
258,1997,11,Johnny Herbert,Sauber,0.0
259,1997,11,Mika Salo,Tyrrell,0.0
260,1997,11,Jan Magnussen,Stewart,0.0
261,1997,11,Jos Verstappen,Tyrrell,0.0
262,1997,11,Ukyo Katayama,Minardi,0.0
263,1997,11,Pedro Diniz,Arrows,0.0
264,1997,12,Jacques Villeneuve,Williams,10.0
265,1997,12,David Coulthard,McLaren,6.0
266,1997,12,Heinz-Harald Frentzen,Williams,4.0
267,1997,12,Giancarlo Fisichella,Jordan,3.0
268,1997,12,Ralf Schumacher,Jordan,2.0
269,1997,12,Michael Schumacher,Ferrari,1.0
270,1997,12,Damon Hill,Arrows,0.0
271,1997,12,Johnny Herbert,Sauber,0.0
272,1997,12,Gianni Morbidelli,Sauber,0.0
273,1997,12,Gerhard Berger,Benetton,0.0
274,1997,12,Ukyo Katayama,Minardi,0.0
275,1997,12,Jos Verstappen,Tyrrell,0.0
276,1997,12,Pedro Diniz,Arrows,0.0
277,1997,12,Rubens Barrichello,Stewart,0.0
278,1997,12,Jarno Trulli,Prost,0.0
279,1997,12,Jan Magnussen,Stewart,0.0
280,1997,12,Shinji Nakano,Prost,0.0
281,1997,12,Mika Salo,Tyrrell,0.0
282,1997,12,Eddie Irvine,Ferrari,0.0
283,1997,12,Jean Alesi,Benetton,0.0
284,1997,12,Mika Häkkinen,McLaren,0.0
285,1997,12,Tarso Marques,Minardi,0.0
286,1997,13,Jacques Villeneuve,Williams,10.0
287,1997,13,Jean Alesi,Benetton,6.0
288,1997,13,Heinz-Harald Frentzen,Williams,4.0
289,1997,13,Gerhard Berger,Benetton,3.0
290,1997,13,Pedro Diniz,Arrows,2.0
291,1997,13,Olivier Panis,Prost,1.0
292,1997,13,Johnny Herbert,Sauber,0.0
293,1997,13,Damon Hill,Arrows,0.0
294,1997,13,Gianni Morbidelli,Sauber,0.0
295,1997,13,Mika Salo,Tyrrell,0.0
296,1997,13,Jos Verstappen,Tyrrell,0.0
297,1997,13,Mika Häkkinen,McLaren,0.0
298,1997,13,Rubens Barrichello,Stewart,0.0
299,1997,13,David Coulthard,McLaren,0.0
300,1997,13,Jan Magnussen,Stewart,0.0
301,1997,13,Eddie Irvine,Ferrari,0.0
302,1997,13,Shinji Nakano,Prost,0.0
303,1997,13,Michael Schumacher,Ferrari,0.0
304,1997,13,Tarso Marques,Minardi,0.0
305,1997,13,Ukyo Katayama,Minardi,0.0
306,1997,13,Giancarlo Fisichella,Jordan,0.0
307,1997,13,Ralf Schumacher,Jordan,0.0
308,1997,14,Michael Schumacher,Ferrari,10.0
309,1997,14,Heinz-Harald Frentzen,Williams,6.0
310,1997,14,Eddie Irvine,Ferrari,4.0
311,1997,14,Mika Häkkinen,McLaren,3.0
