,Year,GP,Driver,Team,Points
0,2007,0,Fernando Alonso,McLaren,10.0
1,2007,0,Lewis Hamilton,McLaren,8.0
2,2007,0,Kimi Räikkönen,Ferrari,6.0
3,2007,0,Nick Heidfeld,BMW Sauber,5.0
4,2007,0,Felipe Massa,Ferrari,4.0
5,2007,0,Giancarlo Fisichella,Renault,3.0
6,2007,0,Jarno Trulli,Toyota,2.0
7,2007,0,Heikki Kovalainen,Renault,1.0
8,2007,0,Alexander Wurz,Williams,0.0
9,2007,0,Mark Webber,Red Bull,0.0
10,2007,0,Rubens Barrichello,Honda,0.0
11,2007,0,Jenson Button,Honda,0.0
12,2007,0,Takuma Sato,Super Aguri,0.0
13,2007,0,Scott Speed,Toro Rosso,0.0
14,2007,0,Ralf Schumacher,Toyota,0.0
15,2007,0,Anthony Davidson,Super Aguri,0.0
16,2007,0,Vitantonio Liuzzi,Toro Rosso,0.0
17,2007,0,Robert Kubica,BMW Sauber,0.0
18,2007,0,Nico Rosberg,Williams,0.0
19,2007,0,David Coulthard,Red Bull,0.0
20,2007,0,Christijan Albers,Spyker,0.0
21,2007,0,Adrian Sutil,Spyker,0.0
22,2007,1,Felipe Massa,Ferrari,10.0
23,2007,1,Lewis Hamilton,McLaren,8.0
24,2007,1,Kimi Räikkönen,Ferrari,6.0
25,2007,1,Nick Heidfeld,BMW Sauber,5.0
26,2007,1,Fernando Alonso,McLaren,4.0
27,2007,1,Robert Kubica,BMW Sauber,3.0
28,2007,1,Jarno Trulli,Toyota,2.0
29,2007,1,Giancarlo Fisichella,Renault,1.0
30,2007,1,Heikki Kovalainen,Renault,0.0
31,2007,1,Nico Rosberg,Williams,0.0
32,2007,1,Alexander Wurz,Williams,0.0
33,2007,1,Ralf Schumacher,Toyota,0.0
34,2007,1,Rubens Barrichello,Honda,0.0
35,2007,1,Christijan Albers,Spyker,0.0
36,2007,1,Adrian Sutil,Spyker,0.0
37,2007,1,Anthony Davidson,Super Aguri,0.0
38,2007,1,Mark Webber,Red Bull,0.0
39,2007,1,David Coulthard,Red Bull,0.0
40,2007,1,Takuma Sato,Super Aguri,0.0
41,2007,1,Vitantonio Liuzzi,Toro Rosso,0.0
42,2007,1,Jenson Button,Honda,0.0
43,2007,1,Scott Speed,Toro Rosso,0.0
44,2007,2,Felipe Massa,Ferrari,10.0
45,2007,2,Lewis Hamilton,McLaren,8.0
46,2007,2,Fernando Alonso,McLaren,6.0
47,2007,2,Robert Kubica,BMW Sauber,5.0
48,2007,2,David Coulthard,Red Bull,4.0
49,2007,2,Nico Rosberg,Williams,3.0
50,2007,2,Heikki Kovalainen,Renault,2.0
51,2007,2,Takuma Sato,Super Aguri,1.0
52,2007,2,Giancarlo Fisichella,Renault,0.0
53,2007,2,Rubens Barrichello,Honda,0.0
54,2007,2,Anthony Davidson,Super Aguri,0.0
55,2007,2,Jenson Button,Honda,0.0
56,2007,2,Adrian Sutil,Spyker,0.0
57,2007,2,Christijan Albers,Spyker,0.0
58,2007,2,Nick Heidfeld,BMW Sauber,0.0
59,2007,2,Ralf Schumacher,Toyota,0.0
60,2007,2,Vitantonio Liuzzi,Toro Rosso,0.0
61,2007,2,Scott Speed,Toro Rosso,0.0
62,2007,2,Kimi Räikkönen,Ferrari,0.0
63,2007,2,Jarno Trulli,Toyota,0.0
64,2007,2,Mark Webber,Red Bull,0.0
65,2007,2,Alexander Wurz,Williams,0.0
66,2007,3,Fernando Alonso,McLaren,10.0
67,2007,3,Lewis Hamilton,McLaren,8.0
68,2007,3,Felipe Massa,Ferrari,6.0
69,2007,3,Giancarlo Fisichella,Renault,5.0
70,2007,3,Robert Kubica,BMW Sauber,4.0
71,2007,3,Nick Heidfeld,BMW Sauber,3.0
72,2007,3,Alexander Wurz,Williams,2.0
73,2007,3,Kimi Räikkönen,Ferrari,1.0
74,2007,3,Scott Speed,Toro Rosso,0.0
75,2007,3,Rubens Barrichello,Honda,0.0
76,2007,3,Jenson Button,Honda,0.0
77,2007,3,Nico Rosberg,Williams,0.0
78,2007,3,Heikki Kovalainen,Renault,0.0
79,2007,3,David Coulthard,Red Bull,0.0
80,2007,3,Jarno Trulli,Toyota,0.0
81,2007,3,Ralf Schumacher,Toyota,0.0
82,2007,3,Takuma Sato,Super Aguri,0.0
83,2007,3,Anthony Davidson,Super Aguri,0.0
84,2007,3,Christijan Albers,Spyker,0.0
85,2007,3,Adrian Sutil,Spyker,0.0
86,2007,3,Mark Webber,Red Bull,0.0
87,2007,3,Vitantonio Liuzzi,Toro Rosso,0.0
88,2007,4,Lewis Hamilton,McLaren,10.0
89,2007,4,Nick Heidfeld,BMW Sauber,8.0
90,2007,4,Alexander Wurz,Williams,6.0
91,2007,4,Heikki Kovalainen,Renault,5.0
92,2007,4,Kimi Räikkönen,Ferrari,4.0
93,2007,4,Takuma Sato,Super Aguri,3.0
94,2007,4,Fernando Alonso,McLaren,2.0
95,2007,4,Ralf Schumacher,Toyota,1.0
96,2007,4,Mark Webber,Red Bull,0.0
97,2007,4,Nico Rosberg,Williams,0.0
98,2007,4,Anthony Davidson,Super Aguri,0.0
99,2007,4,Rubens Barrichello,Honda,0.0
100,2007,4,Jarno Trulli,Toyota,0.0
101,2007,4,Vitantonio Liuzzi,Toro Rosso,0.0
102,2007,4,Christijan Albers,Spyker,0.0
103,2007,4,David Coulthard,Red Bull,0.0
104,2007,4,Robert Kubica,BMW Sauber,0.0
105,2007,4,Adrian Sutil,Spyker,0.0
106,2007,4,Scott Speed,Toro Rosso,0.0
107,2007,4,Jenson Button,Honda,0.0
108,2007,4,Felipe Massa,Ferrari,0.0
109,2007,4,Giancarlo Fisichella,Renault,0.0
110,2007,5,Lewis Hamilton,McLaren,10.0
111,2007,5,Fernando Alonso,McLaren,8.0
112,2007,5,Felipe Massa,Ferrari,6.0
113,2007,5,Kimi Räikkönen,Ferrari,5.0
114,2007,5,Heikki Kovalainen,Renault,4.0
115,2007,5,Jarno Trulli,Toyota,3.0
116,2007,5,Mark Webber,Red Bull,2.0
117,2007,5,Sebastian Vettel,BMW Sauber,1.0
118,2007,5,Giancarlo Fisichella,Renault,0.0
119,2007,5,Alexander Wurz,Williams,0.0
120,2007,5,Anthony Davidson,Super Aguri,0.0
121,2007,5,Jenson Button,Honda,0.0
122,2007,5,Scott Speed,Toro Rosso,0.0
123,2007,5,Adrian Sutil,Spyker,0.0
124,2007,5,Christijan Albers,Spyker,0.0
125,2007,5,Nico Rosberg,Williams,0.0
126,2007,5,Vitantonio Liuzzi,Toro Rosso,0.0
127,2007,5,Nick Heidfeld,BMW Sauber,0.0
128,2007,5,Takuma Sato,Super Aguri,0.0
129,2007,5,David Coulthard,Red Bull,0.0
130,2007,5,Rubens Barrichello,Honda,0.0
131,2007,5,Ralf Schumacher,Toyota,0.0
132,2007,6,Kimi Räikkönen,Ferrari,10.0
133,2007,6,Felipe Massa,Ferrari,8.0
134,2007,6,Lewis Hamilton,McLaren,6.0
135,2007,6,Robert Kubica,BMW Sauber,5.0
136,2007,6,Nick Heidfeld,BMW Sauber,4.0
137,2007,6,Giancarlo Fisichella,Renault,3.0
138,2007,6,Fernando Alonso,McLaren,2.0
139,2007,6,Jenson Button,Honda,1.0
140,2007,6,Nico Rosberg,Williams,0.0
141,2007,6,Ralf Schumacher,Toyota,0.0
142,2007,6,Rubens Barrichello,Honda,0.0
143,2007,6,Mark Webber,Red Bull,0.0
144,2007,6,David Coulthard,Red Bull,0.0
