,Year,GP,Driver,Team,Points
0,2010,0,Jenson Button,McLaren,25.0
1,2010,0,Robert Kubica,Renault,18.0
2,2010,0,Felipe Massa,Ferrari,15.0
3,2010,0,Fernando Alonso,Ferrari,12.0
4,2010,0,Nico Rosberg,Mercedes,10.0
5,2010,0,Lewis Hamilton,McLaren,8.0
6,2010,0,Vitantonio Liuzzi,Force India,6.0
7,2010,0,Rubens Barrichello,Williams,4.0
8,2010,0,Mark Webber,Red Bull,2.0
9,2010,0,Michael Schumacher,Mercedes,1.0
10,2010,0,Jaime Alguersuari,Toro Rosso,0.0
11,2010,0,Pedro de la Rosa,Sauber,0.0
12,2010,0,Heikki Kovalainen,Lotus,0.0
13,2010,0,Karun Chandhok,HRT,0.0
14,2010,0,Timo Glock,Virgin,0.0
15,2010,0,Lucas di Grassi,Virgin,0.0
16,2010,0,Sebastian Vettel,Red Bull,0.0
17,2010,0,Adrian Sutil,Force India,0.0
18,2010,0,Vitaly Petrov,Renault,0.0
19,2010,0,Bruno Senna,HRT,0.0
20,2010,0,Sébastien Buemi,Toro Rosso,0.0
21,2010,0,Nico Hülkenberg,Williams,0.0
22,2010,0,Kamui Kobayashi,Sauber,0.0
23,2010,0,Jarno Trulli,Lotus,0.0
24,2010,1,Sebastian Vettel,Red Bull,25.0
25,2010,1,Mark Webber,Red Bull,18.0
26,2010,1,Nico Rosberg,Mercedes,15.0
27,2010,1,Robert Kubica,Renault,12.0
28,2010,1,Adrian Sutil,Force India,10.0
29,2010,1,Lewis Hamilton,McLaren,8.0
30,2010,1,Felipe Massa,Ferrari,6.0
31,2010,1,Jenson Button,McLaren,4.0
32,2010,1,Jaime Alguersuari,Toro Rosso,2.0
33,2010,1,Nico Hülkenberg,Williams,1.0
34,2010,1,Sébastien Buemi,Toro Rosso,0.0
35,2010,1,Rubens Barrichello,Williams,0.0
36,2010,1,Fernando Alonso,Ferrari,0.0
37,2010,1,Lucas di Grassi,Virgin,0.0
38,2010,1,Karun Chandhok,HRT,0.0
39,2010,1,Bruno Senna,HRT,0.0
40,2010,1,Jarno Trulli,Lotus,0.0
41,2010,1,Heikki Kovalainen,Lotus,0.0
42,2010,1,Vitaly Petrov,Renault,0.0
43,2010,1,Vitantonio Liuzzi,Force India,0.0
44,2010,1,Michael Schumacher,Mercedes,0.0
