,Year,GP,Driver,Team,Points
0,1957,0,Juan Fangio,Maserati,9.0
1,1957,0,Tony Brooks,Vanwall,6.0
2,1957,0,Masten Gregory,Maserati,4.0
3,1957,0,Stuart Lewis-Evans,Connaught,3.0
4,1957,0,Maurice Trintignant,Ferrari,2.0
5,1957,0,Jack Brabham,Cooper,0.0
6,1957,0,Mike Hawthorn,Ferrari,0.0
7,1957,0,Wolfgang von Trips,Ferrari,0.0
8,1957,0,Giorgio Scarlatti,Maserati,0.0
9,1957,0,Harry Schell,Maserati,0.0
10,1957,0,Ron Flockhart,BRM,0.0
11,1957,0,Carlos Menditeguy,Maserati,0.0
12,1957,0,Ivor Bueb,Connaught,0.0
13,1957,0,Harry Schell,Maserati,0.0
14,1957,0,Horace Gould,Maserati,0.0
15,1957,0,Peter Collins,Ferrari,0.0
16,1957,0,Stirling Moss,Vanwall,0.0
17,1957,0,Mike Hawthorn,Ferrari,0.0
18,1957,0,Roy Salvadori,BRM,0.0
19,1957,0,Hans Herrmann,Maserati,0.0
20,1957,0,André Simon,Maserati,0.0
21,1957,0,Luigi Piotti,Maserati,0.0
22,1957,0,Les Leston,Cooper,0.0
23,1957,1,Sam Hanks,Epperly,8.0
24,1957,1,Jim Rathmann,Epperly,7.0
25,1957,1,Jimmy Bryan,Kuzma,4.0
26,1957,1,Paul Russo,Kurtis Kraft,3.0
27,1957,1,Andy Linden,Kurtis Kraft,2.0
28,1957,1,Johnny Boyd,Kurtis Kraft,0.0
29,1957,1,Marshall Teague,Kurtis Kraft,0.0
30,1957,1,Pat O'Connor,Kurtis Kraft,0.0
31,1957,1,Bob Veith,Phillips,0.0
32,1957,1,Gene Hartley,Lesovsky,0.0
33,1957,1,Jack Turner,Kurtis Kraft,0.0
34,1957,1,Johnny Thomson,Kuzma,0.0
35,1957,1,Bob Christie,Kurtis Kraft,0.0
36,1957,1,Chuck Weyant,Kuzma,0.0
37,1957,1,Tony Bettenhausen,Kurtis Kraft,0.0
38,1957,1,Johnnie Parsons,Kurtis Kraft,0.0
39,1957,1,Don Freeland,Kurtis Kraft,0.0
40,1957,1,Jimmy Reece,Kurtis Kraft,0.0
41,1957,1,Don Edmunds,Kurtis Kraft,0.0
42,1957,1,Johnnie Tolan,Kurtis Kraft,0.0
43,1957,1,Al Herman,Dunn,0.0
44,1957,1,Fred Agabashian,Kurtis Kraft,0.0
45,1957,1,Eddie Sachs,Kuzma,0.0
46,1957,1,Mike Magill,Kurtis Kraft,0.0
47,1957,1,Eddie Johnson,Kurtis Kraft,0.0
48,1957,1,Bill Cheesbourg,Kurtis Kraft,0.0
49,1957,1,Al Keller,Kurtis Kraft,0.0
50,1957,1,Jimmy Daywalt,Kurtis Kraft,0.0
51,1957,1,Ed Elisian,Kurtis Kraft,0.0
52,1957,1,Rodger Ward,Lesovsky,0.0
53,1957,2,Juan Fangio,Maserati,8.0
54,1957,2,Luigi Musso,Ferrari,7.0
55,1957,2,Peter Collins,Ferrari,4.0
56,1957,2,Mike Hawthorn,Ferrari,3.0
57,1957,2,Harry Schell,Maserati,2.0
58,1957,2,Jean Behra,Maserati,0.0
59,1957,2,Mike MacDowel,Cooper,0.0
60,1957,2,Jack Brabham,Cooper,0.0
61,1957,2,Carlos Menditeguy,Maserati,0.0
62,1957,2,Stuart Lewis-Evans,Vanwall,0.0
63,1957,2,Roy Salvadori,Vanwall,0.0
64,1957,2,Herbert MacKay-Fraser,BRM,0.0
65,1957,2,Maurice Trintignant,Ferrari,0.0
66,1957,2,Jack Brabham,Cooper,0.0
67,1957,2,Horace Gould,Maserati,0.0
68,1957,2,Ron Flockhart,BRM,0.0
69,1957,3,Tony Brooks,Vanwall,4.0
70,1957,3,Stirling Moss,Vanwall,5.0
71,1957,3,Luigi Musso,Ferrari,6.0
72,1957,3,Mike Hawthorn,Ferrari,4.0
73,1957,3,Maurice Trintignant,Ferrari,3.0
74,1957,3,Peter Collins,Ferrari,0.0
75,1957,3,Roy Salvadori,Cooper,2.0
76,1957,3,Bob Gerard,Cooper,0.0
77,1957,3,Stuart Lewis-Evans,Vanwall,0.0
78,1957,3,Ivor Bueb,Maserati,0.0
79,1957,3,Jack Brabham,Cooper,0.0
80,1957,3,Jean Behra,Maserati,0.0
81,1957,3,Peter Collins,Ferrari,0.0
82,1957,3,Stirling Moss,Vanwall,0.0
83,1957,3,Tony Brooks,Vanwall,0.0
84,1957,3,Juan Fangio,Maserati,0.0
85,1957,3,Jack Fairman,BRM,0.0
86,1957,3,Les Leston,BRM,0.0
87,1957,3,Harry Schell,Maserati,0.0
88,1957,3,Carlos Menditeguy,Maserati,0.0
89,1957,3,Jo Bonnier,Maserati,0.0
90,1957,3,Horace Gould,Maserati,0.0
91,1957,4,Juan Fangio,Maserati,9.0
92,1957,4,Mike Hawthorn,Ferrari,6.0
93,1957,4,Peter Collins,Ferrari,4.0
94,1957,4,Luigi Musso,Ferrari,3.0
95,1957,4,Stirling Moss,Vanwall,2.0
96,1957,4,Jean Behra,Maserati,0.0
97,1957,4,Harry Schell,Maserati,0.0
98,1957,4,Masten Gregory,Maserati,0.0
99,1957,4,Tony Brooks,Vanwall,0.0
100,1957,4,Giorgio Scarlatti,Maserati,0.0
101,1957,4,Bruce Halford,Maserati,0.0
102,1957,4,Edgar Barth,Porsche,0.0
103,1957,4,Brian Naylor,Cooper,0.0
104,1957,4,Carel Godin de Beaufort,Porsche,0.0
105,1957,4,Tony Marsh,Cooper,0.0
106,1957,4,Hans Herrmann,Maserati,0.0
107,1957,4,Umberto Maglioli,Porsche,0.0
108,1957,4,Roy Salvadori,Cooper,0.0
109,1957,4,Paco Godia,Maserati,0.0
110,1957,4,Stuart Lewis-Evans,Vanwall,0.0
111,1957,4,Jack Brabham,Cooper,0.0
112,1957,4,Paul England,Cooper,0.0
113,1957,4,Dick Gibson,Cooper,0.0
114,1957,4,Horace Gould,Maserati,0.0
115,1957,5,Stirling Moss,Vanwall,9.0
116,1957,5,Juan Fangio,Maserati,6.0
117,1957,5,Harry Schell,Maserati,4.0
118,1957,5,Masten Gregory,Maserati,3.0
119,1957,5,Stuart Lewis-Evans,Vanwall,2.0
120,1957,5,Giorgio Scarlatti,Maserati,0.0
121,1957,5,Jack Brabham,Cooper,0.0
122,1957,5,Luigi Musso,Ferrari,0.0
123,1957,5,Paco Godia,Maserati,0.0
124,1957,5,Bruce Halford,Maserati,0.0
125,1957,5,Jo Bonnier,Maserati,0.0
126,1957,5,Jean Behra,Maserati,0.0
127,1957,5,Roy Salvadori,Cooper,0.0
128,1957,5,Tony Brooks,Vanwall,0.0
129,1957,5,Horace Gould,Maserati,0.0
130,1957,5,Luigi Piotti,Maserati,0.0
131,1957,6,Stirling Moss,Vanwall,8.0
132,1957,6,Juan Fangio,Maserati,6.0
133,1957,6,Wolfgang von Trips,Ferrari,4.0
134,1957,6,Masten Gregory,Maserati,3.0
135,1957,6,Giorgio Scarlatti,Maserati,1.0
136,1957,6,Harry Schell,Maserati,1.0
137,1957,6,Mike Hawthorn,Ferrari,0.0
138,1957,6,Tony Brooks,Vanwall,1.0
