,Year,GP,Driver,Team,Points
0,1995,0,Damon Hill,Williams,10.0
1,1995,0,Jean Alesi,Ferrari,6.0
2,1995,0,Michael Schumacher,Benetton,4.0
3,1995,0,Johnny Herbert,Benetton,3.0
4,1995,0,Heinz-Harald Frentzen,Sauber,2.0
5,1995,0,Gerhard Berger,Ferrari,1.0
6,1995,0,Olivier Panis,Ligier,0.0
7,1995,0,Ukyo Katayama,Tyrrell,0.0
8,1995,0,Domenico Schiattarella,Simtek,0.0
9,1995,0,Pedro Diniz,Forti,0.0
10,1995,0,Roberto Moreno,Forti,0.0
11,1995,0,Mika Salo,Tyrrell,0.0
12,1995,0,Aguri Suzuki,Ligier,0.0
13,1995,0,Pierluigi Martini,Minardi,0.0
14,1995,0,Gianni Morbidelli,Footwork,0.0
15,1995,0,Taki Inoue,Footwork,0.0
16,1995,0,Rubens Barrichello,Jordan,0.0
17,1995,0,Jos Verstappen,Simtek,0.0
18,1995,0,David Coulthard,Williams,0.0
19,1995,0,Mark Blundell,McLaren,0.0
20,1995,0,Eddie Irvine,Jordan,0.0
21,1995,0,Andrea Montermini,Pacific,0.0
22,1995,0,Mika Häkkinen,McLaren,0.0
23,1995,0,Bertrand Gachot,Pacific,0.0
24,1995,0,Karl Wendlinger,Sauber,0.0
25,1995,0,Luca Badoer,Minardi,0.0
26,1995,1,Damon Hill,Williams,10.0
27,1995,1,Jean Alesi,Ferrari,6.0
28,1995,1,Gerhard Berger,Ferrari,4.0
29,1995,1,David Coulthard,Williams,3.0
30,1995,1,Mika Häkkinen,McLaren,2.0
31,1995,1,Heinz-Harald Frentzen,Sauber,1.0
32,1995,1,Johnny Herbert,Benetton,0.0
33,1995,1,Eddie Irvine,Jordan,0.0
34,1995,1,Olivier Panis,Ligier,0.0
35,1995,1,Nigel Mansell,McLaren,0.0
36,1995,1,Aguri Suzuki,Ligier,0.0
37,1995,1,Pierluigi Martini,Minardi,0.0
38,1995,1,Gianni Morbidelli,Footwork,0.0
39,1995,1,Luca Badoer,Minardi,0.0
40,1995,1,Pedro Diniz,Forti,0.0
41,1995,1,Roberto Moreno,Forti,0.0
42,1995,1,Karl Wendlinger,Sauber,0.0
43,1995,1,Bertrand Gachot,Pacific,0.0
44,1995,1,Domenico Schiattarella,Simtek,0.0
45,1995,1,Rubens Barrichello,Jordan,0.0
46,1995,1,Ukyo Katayama,Tyrrell,0.0
47,1995,1,Mika Salo,Tyrrell,0.0
48,1995,1,Andrea Montermini,Pacific,0.0
49,1995,1,Jos Verstappen,Simtek,0.0
50,1995,1,Taki Inoue,Footwork,0.0
51,1995,1,Michael Schumacher,Benetton,0.0
52,1995,2,Michael Schumacher,Benetton,10.0
53,1995,2,Johnny Herbert,Benetton,6.0
54,1995,2,Gerhard Berger,Ferrari,4.0
55,1995,2,Damon Hill,Williams,3.0
56,1995,2,Eddie Irvine,Jordan,2.0
57,1995,2,Olivier Panis,Ligier,1.0
58,1995,2,Rubens Barrichello,Jordan,0.0
59,1995,2,Heinz-Harald Frentzen,Sauber,0.0
60,1995,2,Martin Brundle,Ligier,0.0
61,1995,2,Mika Salo,Tyrrell,0.0
62,1995,2,Gianni Morbidelli,Footwork,0.0
63,1995,2,Jos Verstappen,Simtek,0.0
64,1995,2,Karl Wendlinger,Sauber,0.0
65,1995,2,Pierluigi Martini,Minardi,0.0
66,1995,2,Domenico Schiattarella,Simtek,0.0
67,1995,2,Ukyo Katayama,Tyrrell,0.0
68,1995,2,David Coulthard,Williams,0.0
69,1995,2,Mika Häkkinen,McLaren,0.0
70,1995,2,Taki Inoue,Footwork,0.0
71,1995,2,Bertrand Gachot,Pacific,0.0
72,1995,2,Roberto Moreno,Forti,0.0
