,Year,GP,Driver,Team,Points
0,1969,0,Jackie Stewart,Matra-Ford,9.0
1,1969,0,Bruce McLaren,McLaren-Ford,6.0
2,1969,0,Jean-Pierre Beltoise,Matra-Ford,4.0
3,1969,0,Denny Hulme,McLaren-Ford,3.0
4,1969,0,John Surtees,BRM,2.0
5,1969,0,Jacky Ickx,Brabham-Ford,1.0
6,1969,0,Pedro Rodríguez,BRM,0.0
7,1969,0,Chris Amon,Ferrari,0.0
8,1969,0,Jack Brabham,Brabham-Ford,0.0
9,1969,0,Jo Siffert,Lotus-Ford,0.0
10,1969,0,Jochen Rindt,Lotus-Ford,0.0
11,1969,0,Piers Courage,Brabham-Ford,0.0
12,1969,0,Graham Hill,Lotus-Ford,0.0
13,1969,0,Jackie Oliver,BRM,0.0
14,1969,1,Graham Hill,Lotus-Ford,9.0
15,1969,1,Piers Courage,Brabham-Ford,6.0
16,1969,1,Jo Siffert,Lotus-Ford,4.0
17,1969,1,Richard Attwood,Lotus-Ford,3.0
18,1969,1,Bruce McLaren,McLaren-Ford,2.0
19,1969,1,Denny Hulme,McLaren-Ford,1.0
20,1969,1,Vic Elford,Cooper-Maserati,0.0
21,1969,1,Jacky Ickx,Brabham-Ford,0.0
22,1969,1,Jackie Stewart,Matra-Ford,0.0
23,1969,1,Jean-Pierre Beltoise,Matra-Ford,0.0
24,1969,1,Chris Amon,Ferrari,0.0
25,1969,1,Pedro Rodríguez,BRM,0.0
26,1969,1,Silvio Moser,Brabham-Ford,0.0
27,1969,1,John Surtees,BRM,0.0
28,1969,1,Jack Brabham,Brabham-Ford,0.0
29,1969,1,Jackie Oliver,BRM,0.0
30,1969,2,Jackie Stewart,Matra-Ford,9.0
31,1969,2,Jo Siffert,Lotus-Ford,6.0
32,1969,2,Chris Amon,Ferrari,4.0
33,1969,2,Denny Hulme,McLaren-Ford,3.0
34,1969,2,Jacky Ickx,Brabham-Ford,2.0
35,1969,2,Jack Brabham,Brabham-Ford,1.0
36,1969,2,Graham Hill,Lotus-Ford,0.0
37,1969,2,Jean-Pierre Beltoise,McLaren-Ford,0.0
38,1969,2,John Surtees,BRM,0.0
39,1969,2,Vic Elford,McLaren-Ford,0.0
40,1969,2,Silvio Moser,Brabham-Ford,0.0
41,1969,2,Bruce McLaren,McLaren-Ford,0.0
42,1969,2,Jochen Rindt,Lotus-Ford,0.0
43,1969,2,Piers Courage,Brabham-Ford,0.0
44,1969,2,Jackie Oliver,BRM,0.0
45,1969,3,Jackie Stewart,Matra-Ford,9.0
46,1969,3,Jean-Pierre Beltoise,Matra-Ford,6.0
47,1969,3,Jacky Ickx,Brabham-Ford,4.0
48,1969,3,Bruce McLaren,McLaren-Ford,3.0
49,1969,3,Vic Elford,McLaren-Ford,2.0
50,1969,3,Graham Hill,Lotus-Ford,1.0
51,1969,3,Silvio Moser,Brabham-Ford,0.0
52,1969,3,Denny Hulme,McLaren-Ford,0.0
53,1969,3,Jo Siffert,Lotus-Ford,0.0
54,1969,3,Chris Amon,Ferrari,0.0
55,1969,3,Jochen Rindt,Lotus-Ford,0.0
56,1969,3,Piers Courage,Brabham-Ford,0.0
57,1969,3,John Miles,Lotus-Ford,0.0
58,1969,4,Jackie Stewart,Matra-Ford,9.0
59,1969,4,Jacky Ickx,Brabham-Ford,6.0
60,1969,4,Bruce McLaren,McLaren-Ford,4.0
61,1969,4,Jochen Rindt,Lotus-Ford,3.0
62,1969,4,Piers Courage,Brabham-Ford,2.0
63,1969,4,Vic Elford,McLaren-Ford,1.0
64,1969,4,Graham Hill,Lotus-Ford,0.0
65,1969,4,Jo Siffert,Lotus-Ford,0.0
66,1969,4,Jean-Pierre Beltoise,Matra-Ford,0.0
67,1969,4,John Miles,Lotus-Ford,0.0
68,1969,4,Pedro Rodríguez,Ferrari,0.0
69,1969,4,Chris Amon,Ferrari,0.0
70,1969,4,Denny Hulme,McLaren-Ford,0.0
71,1969,4,Jackie Oliver,BRM,0.0
72,1969,4,Jo Bonnier,Lotus-Ford,0.0
73,1969,4,Derek Bell,McLaren-Ford,0.0
74,1969,4,John Surtees,BRM,0.0
75,1969,5,Jacky Ickx,Brabham-Ford,9.0
76,1969,5,Jackie Stewart,Matra-Ford,6.0
77,1969,5,Bruce McLaren,McLaren-Ford,4.0
78,1969,5,Graham Hill,Lotus-Ford,3.0
79,1969,5,Jo Siffert,Lotus-Ford,2.0
80,1969,5,Jean-Pierre Beltoise,Matra-Ford,1.0
81,1969,5,Denny Hulme,McLaren-Ford,0.0
82,1969,5,Jackie Oliver,BRM-Ford,0.0
83,1969,5,Jochen Rindt,Lotus-Ford,0.0
84,1969,5,Jo Bonnier,Lotus-Ford,0.0
85,1969,5,Piers Courage,Brabham-Ford,0.0
86,1969,5,Vic Elford,McLaren-Ford,0.0
87,1969,5,Mario Andretti,Lotus-Ford,0.0
88,1969,5,John Surtees,BRM,0.0
89,1969,6,Jackie Stewart,Matra-Ford,9.0
90,1969,6,Jochen Rindt,Lotus-Ford,6.0
91,1969,6,Jean-Pierre Beltoise,Matra-Ford,4.0
92,1969,6,Bruce McLaren,McLaren-Ford,3.0
93,1969,6,Piers Courage,Brabham-Ford,2.0
94,1969,6,Pedro Rodríguez,Ferrari,1.0
95,1969,6,Denny Hulme,McLaren-Ford,0.0
96,1969,6,Jo Siffert,Lotus-Ford,0.0
97,1969,6,Graham Hill,Lotus-Ford,0.0
98,1969,6,Jacky Ickx,Brabham-Ford,0.0
99,1969,6,John Surtees,BRM,0.0
100,1969,6,Jackie Oliver,BRM,0.0
101,1969,6,Silvio Moser,Brabham-Ford,0.0
102,1969,6,Jack Brabham,Brabham-Ford,0.0
103,1969,6,John Miles,Lotus-Ford,0.0
104,1969,7,Jacky Ickx,Brabham-Ford,9.0
105,1969,7,Jack Brabham,Brabham-Ford,6.0
106,1969,7,Jochen Rindt,Lotus-Ford,4.0
107,1969,7,Jean-Pierre Beltoise,Matra-Ford,3.0
108,1969,7,Bruce McLaren,McLaren-Ford,2.0
109,1969,7,Johnny Servoz-Gavin,Matra-Ford,1.0
110,1969,7,Pete Lovely,Lotus-Ford,0.0
111,1969,7,Bill Brack,BRM,0.0
112,1969,7,Graham Hill,Lotus-Ford,0.0
113,1969,7,Jo Siffert,Lotus-Ford,0.0
114,1969,7,John Miles,Lotus-Ford,0.0
