,Year,GP,Driver,Team,Points
0,1959,0,Rodger Ward,Watson,8.0
1,1959,0,Jim Rathmann,Watson,6.0
2,1959,0,Johnny Thomson,Lesovsky,5.0
3,1959,0,Tony Bettenhausen,Epperly,3.0
4,1959,0,Paul Goldsmith,Epperly,2.0
5,1959,0,Johnny Boyd,Epperly,0.0
6,1959,0,Duane Carter,Kurtis Kraft,0.0
7,1959,0,Eddie Johnson,Kurtis Kraft,0.0
8,1959,0,Paul Russo,Kurtis Kraft,0.0
9,1959,0,Anthony Foyt,Kuzma,0.0
10,1959,0,Gene Hartley,Kuzma,0.0
11,1959,0,Bob Veith,Moore,0.0
12,1959,0,Al Herman,Dunn,0.0
13,1959,0,Jimmy Daywalt,Kurtis Kraft,0.0
14,1959,0,Chuck Arnold,Kurtis Kraft,0.0
15,1959,0,Jim McWithey,Kurtis Kraft,0.0
16,1959,0,Eddie Sachs,Kuzma,0.0
17,1959,0,Al Keller,Kuzma,0.0
18,1959,0,Pat Flaherty,Watson,0.0
19,1959,0,Dick Rathmann,Watson,0.0
20,1959,0,Bill Cheesbourg,Kuzma,0.0
21,1959,0,Don Freeland,Kurtis Kraft,0.0
22,1959,0,Ray Crawford,Elder,0.0
23,1959,0,Don Branson,Phillips,0.0
24,1959,0,Bob Christie,Kurtis Kraft,0.0
25,1959,0,Bobby Grim,Kurtis Kraft,0.0
26,1959,0,Jack Turner,Christensen,0.0
27,1959,0,Chuck Weyant,Kurtis Kraft,0.0
28,1959,0,Jud Larson,Kurtis Kraft,0.0
29,1959,0,Mike Magill,Sutton,0.0
30,1959,1,Jo Bonnier,BRM,8.0
31,1959,1,Jack Brabham,Cooper-Climax,6.0
32,1959,1,Masten Gregory,Cooper-Climax,4.0
33,1959,1,Innes Ireland,Team Lotus,3.0
34,1959,1,Jean Behra,Ferrari,2.0
35,1959,1,Phil Hill,Ferrari,0.0
36,1959,1,Graham Hill,Team Lotus,0.0
37,1959,1,Maurice Trintignant,Cooper-Climax,0.0
38,1959,1,Cliff Allison,Ferrari,0.0
39,1959,1,Carel Godin de Beaufort,Porsche,0.0
40,1959,1,Stirling Moss,Cooper-Climax,1.0
41,1959,1,Harry Schell,BRM,0.0
42,1959,1,Tony Brooks,Ferrari,0.0
