,Year,GP,Driver,Team,Points
0,2004,0,Michael Schumacher,Ferrari,10.0
1,2004,0,Juan Pablo Montoya,Williams,8.0
2,2004,0,Jenson Button,BAR,6.0
3,2004,0,Rubens Barrichello,Ferrari,5.0
4,2004,0,Jarno Trulli,Renault,4.0
5,2004,0,David Coulthard,McLaren,3.0
6,2004,0,Fernando Alonso,Renault,2.0
7,2004,0,Felipe Massa,Sauber,1.0
8,2004,0,Cristiano da Matta,Toyota,0.0
9,2004,0,Christian Klien,Jaguar,0.0
10,2004,0,Giancarlo Fisichella,Sauber,0.0
11,2004,0,Olivier Panis,Toyota,0.0
12,2004,0,Giorgio Pantano,Jordan,0.0
13,2004,0,Gianmaria Bruni,Minardi,0.0
14,2004,0,Takuma Sato,BAR,0.0
15,2004,0,Zsolt Baumgartner,Minardi,0.0
16,2004,0,Kimi Räikkönen,McLaren,0.0
17,2004,0,Nick Heidfeld,Jordan,0.0
18,2004,0,Ralf Schumacher,Williams,0.0
19,2004,0,Mark Webber,Jaguar,0.0
20,2004,1,Michael Schumacher,Ferrari,10.0
21,2004,1,Rubens Barrichello,Ferrari,8.0
22,2004,1,Jenson Button,BAR,6.0
23,2004,1,Jarno Trulli,Renault,5.0
24,2004,1,Takuma Sato,BAR,4.0
25,2004,1,Fernando Alonso,Renault,3.0
26,2004,1,Ralf Schumacher,Williams,2.0
27,2004,1,Mark Webber,Jaguar,1.0
28,2004,1,Olivier Panis,Toyota,0.0
29,2004,1,Cristiano da Matta,Toyota,0.0
30,2004,1,Giancarlo Fisichella,Sauber,0.0
31,2004,1,Felipe Massa,Sauber,0.0
32,2004,1,Juan Pablo Montoya,Williams,0.0
33,2004,1,Christian Klien,Jaguar,0.0
34,2004,1,Nick Heidfeld,Jordan,0.0
35,2004,1,Giorgio Pantano,Jordan,0.0
36,2004,1,Gianmaria Bruni,Minardi,0.0
37,2004,1,David Coulthard,McLaren,0.0
38,2004,1,Zsolt Baumgartner,Minardi,0.0
39,2004,1,Kimi Räikkönen,McLaren,0.0
40,2004,2,Michael Schumacher,Ferrari,10.0
41,2004,2,Jenson Button,BAR,8.0
42,2004,2,Juan Pablo Montoya,Williams,6.0
43,2004,2,Fernando Alonso,Renault,5.0
44,2004,2,Jarno Trulli,Renault,4.0
45,2004,2,Rubens Barrichello,Ferrari,3.0
46,2004,2,Ralf Schumacher,Williams,2.0
47,2004,2,Kimi Räikkönen,McLaren,1.0
48,2004,2,Giancarlo Fisichella,Sauber,0.0
49,2004,2,Felipe Massa,Sauber,0.0
50,2004,2,Olivier Panis,Toyota,0.0
51,2004,2,David Coulthard,McLaren,0.0
52,2004,2,Mark Webber,Jaguar,0.0
53,2004,2,Christian Klien,Jaguar,0.0
54,2004,2,Zsolt Baumgartner,Minardi,0.0
55,2004,2,Takuma Sato,BAR,0.0
56,2004,2,Nick Heidfeld,Jordan,0.0
57,2004,2,Cristiano da Matta,Toyota,0.0
58,2004,2,Gianmaria Bruni,Minardi,0.0
59,2004,2,Giorgio Pantano,Jordan,0.0
60,2004,3,Michael Schumacher,Ferrari,10.0
61,2004,3,Rubens Barrichello,Ferrari,8.0
62,2004,3,Jarno Trulli,Renault,6.0
63,2004,3,Fernando Alonso,Renault,5.0
64,2004,3,Takuma Sato,BAR,4.0
65,2004,3,Ralf Schumacher,Williams,3.0
66,2004,3,Giancarlo Fisichella,Sauber,2.0
67,2004,3,Jenson Button,BAR,1.0
68,2004,3,Felipe Massa,Sauber,0.0
69,2004,3,David Coulthard,McLaren,0.0
70,2004,3,Kimi Räikkönen,McLaren,0.0
71,2004,3,Mark Webber,Jaguar,0.0
72,2004,3,Cristiano da Matta,Toyota,0.0
73,2004,3,Giorgio Pantano,Jordan,0.0
74,2004,3,Juan Pablo Montoya,Williams,0.0
75,2004,3,Christian Klien,Jaguar,0.0
76,2004,3,Olivier Panis,Toyota,0.0
77,2004,3,Nick Heidfeld,Jordan,0.0
78,2004,3,Gianmaria Bruni,Minardi,0.0
79,2004,3,Zsolt Baumgartner,Minardi,0.0
80,2004,4,Jarno Trulli,Renault,10.0
81,2004,4,Jenson Button,BAR,8.0
82,2004,4,Rubens Barrichello,Ferrari,6.0
83,2004,4,Juan Pablo Montoya,Williams,5.0
84,2004,4,Felipe Massa,Sauber,4.0
85,2004,4,Cristiano da Matta,Toyota,3.0
86,2004,4,Nick Heidfeld,Jordan,2.0
87,2004,4,Olivier Panis,Toyota,1.0
88,2004,4,Zsolt Baumgartner,Minardi,0.0
89,2004,4,Ralf Schumacher,Williams,0.0
90,2004,4,Michael Schumacher,Ferrari,0.0
91,2004,4,Fernando Alonso,Renault,0.0
92,2004,4,Kimi Räikkönen,McLaren,0.0
93,2004,4,Gianmaria Bruni,Minardi,0.0
94,2004,4,Giorgio Pantano,Jordan,0.0
95,2004,4,Mark Webber,Jaguar,0.0
96,2004,4,Takuma Sato,BAR,0.0
97,2004,4,David Coulthard,McLaren,0.0
98,2004,4,Giancarlo Fisichella,Sauber,0.0
99,2004,4,Christian Klien,Jaguar,0.0
100,2004,5,Michael Schumacher,Ferrari,10.0
101,2004,5,Rubens Barrichello,Ferrari,8.0
102,2004,5,Jenson Button,BAR,6.0
103,2004,5,Jarno Trulli,Renault,5.0
104,2004,5,Fernando Alonso,Renault,4.0
105,2004,5,Giancarlo Fisichella,Sauber,3.0
