,Year,GP,Driver,Team,Points
0,2000,0,Michael Schumacher,Ferrari,10.0
1,2000,0,Giancarlo Fisichella,Benetton,6.0
2,2000,0,Heinz-Harald Frentzen,Jordan,4.0
3,2000,0,Jarno Trulli,Jordan,3.0
4,2000,0,Ralf Schumacher,Williams,2.0
5,2000,0,Jenson Button,Williams,1.0
6,2000,0,Jos Verstappen,Arrows,0.0
7,2000,0,Pedro de la Rosa,Arrows,0.0
8,2000,0,Ricardo Zonta,BAR,0.0
9,2000,0,Gastón Mazzacane,Minardi,0.0
10,2000,0,David Coulthard,McLaren,0.0
11,2000,0,Johnny Herbert,Jaguar,0.0
12,2000,0,Marc Gené,Minardi,0.0
13,2000,0,Mika Häkkinen,McLaren,0.0
14,2000,0,Rubens Barrichello,Ferrari,0.0
15,2000,0,Eddie Irvine,Jaguar,0.0
16,2000,0,Jacques Villeneuve,BAR,0.0
17,2000,0,Jean Alesi,Prost,0.0
18,2000,0,Nick Heidfeld,Prost,0.0
19,2000,0,Alexander Wurz,Benetton,0.0
20,2000,0,Pedro Diniz,Sauber,0.0
21,2000,0,Mika Salo,Sauber,0.0
22,2000,1,Michael Schumacher,Ferrari,10.0
23,2000,1,Mika Häkkinen,McLaren,6.0
24,2000,1,David Coulthard,McLaren,4.0
25,2000,1,Rubens Barrichello,Ferrari,3.0
26,2000,1,Jacques Villeneuve,BAR,2.0
27,2000,1,Mika Salo,Sauber,1.0
28,2000,1,Eddie Irvine,Jaguar,0.0
29,2000,1,Pedro Diniz,Sauber,0.0
30,2000,1,Alexander Wurz,Benetton,0.0
31,2000,1,Johnny Herbert,Jaguar,0.0
32,2000,1,Giancarlo Fisichella,Benetton,0.0
33,2000,1,Ricardo Zonta,BAR,0.0
34,2000,1,Gastón Mazzacane,Minardi,0.0
35,2000,1,Jos Verstappen,Arrows,0.0
36,2000,1,Jarno Trulli,Jordan,0.0
37,2000,1,Pedro de la Rosa,Arrows,0.0
38,2000,1,Ralf Schumacher,Williams,0.0
39,2000,1,Jean Alesi,Prost,0.0
40,2000,1,Nick Heidfeld,Prost,0.0
41,2000,1,Jenson Button,Williams,0.0
42,2000,1,Marc Gené,Minardi,0.0
43,2000,1,Heinz-Harald Frentzen,Jordan,0.0
44,2000,2,David Coulthard,McLaren,10.0
45,2000,2,Mika Häkkinen,McLaren,6.0
46,2000,2,Michael Schumacher,Ferrari,4.0
47,2000,2,Ralf Schumacher,Williams,3.0
48,2000,2,Jenson Button,Williams,2.0
49,2000,2,Jarno Trulli,Jordan,1.0
50,2000,2,Giancarlo Fisichella,Benetton,0.0
51,2000,2,Mika Salo,Sauber,0.0
52,2000,2,Alexander Wurz,Benetton,0.0
53,2000,2,Jean Alesi,Prost,0.0
54,2000,2,Pedro Diniz,Sauber,0.0
55,2000,2,Johnny Herbert,Jaguar,0.0
56,2000,2,Eddie Irvine,Jaguar,0.0
57,2000,2,Marc Gené,Minardi,0.0
58,2000,2,Gastón Mazzacane,Minardi,0.0
59,2000,2,Jacques Villeneuve,BAR,0.0
60,2000,2,Heinz-Harald Frentzen,Jordan,0.0
61,2000,2,Nick Heidfeld,Prost,0.0
62,2000,2,Ricardo Zonta,BAR,0.0
63,2000,2,Rubens Barrichello,Ferrari,0.0
64,2000,2,Pedro de la Rosa,Arrows,0.0
65,2000,2,Jos Verstappen,Arrows,0.0
66,2000,3,Mika Häkkinen,McLaren,10.0
67,2000,3,David Coulthard,McLaren,6.0
68,2000,3,Rubens Barrichello,Ferrari,4.0
69,2000,3,Ralf Schumacher,Williams,3.0
70,2000,3,Michael Schumacher,Ferrari,2.0
71,2000,3,Heinz-Harald Frentzen,Jordan,1.0
72,2000,3,Mika Salo,Sauber,0.0
73,2000,3,Ricardo Zonta,BAR,0.0
74,2000,3,Giancarlo Fisichella,Benetton,0.0
75,2000,3,Alexander Wurz,Benetton,0.0
76,2000,3,Eddie Irvine,Jaguar,0.0
77,2000,3,Jarno Trulli,Jordan,0.0
78,2000,3,Johnny Herbert,Jaguar,0.0
79,2000,3,Marc Gené,Minardi,0.0
80,2000,3,Gastón Mazzacane,Minardi,0.0
81,2000,3,Nick Heidfeld,Prost,0.0
82,2000,3,Jenson Button,Williams,0.0
83,2000,3,Jos Verstappen,Arrows,0.0
84,2000,3,Jacques Villeneuve,BAR,0.0
85,2000,3,Jean Alesi,Prost,0.0
86,2000,3,Pedro de la Rosa,Arrows,0.0
87,2000,3,Pedro Diniz,Sauber,0.0
88,2000,4,Michael Schumacher,Ferrari,10.0
89,2000,4,Mika Häkkinen,McLaren,6.0
90,2000,4,David Coulthard,McLaren,4.0
91,2000,4,Rubens Barrichello,Ferrari,3.0
92,2000,4,Giancarlo Fisichella,Benetton,2.0
93,2000,4,Pedro de la Rosa,Arrows,1.0
94,2000,4,Pedro Diniz,Sauber,0.0
