,Year,GP,Driver,Team,Points
0,1964,0,Jim Clark,Lotus-Climax,9.0
1,1964,0,John Surtees,Ferrari,6.0
2,1964,0,Peter Arundell,Lotus-Climax,4.0
3,1964,0,Graham Hill,BRM,3.0
4,1964,0,Chris Amon,Lotus-BRM,2.0
5,1964,0,Bob Anderson,Brabham-Climax,1.0
6,1964,0,Bruce McLaren,Cooper-Climax,0.0
7,1964,0,Phil Hill,Cooper-Climax,0.0
8,1964,0,Jo Bonnier,Brabham-BRM,0.0
9,1964,0,Giancarlo Baghetti,BRM,0.0
10,1964,0,Richie Ginther,BRM,0.0
11,1964,0,Mike Hailwood,Lotus-BRM,0.0
12,1964,0,Jo Siffert,Brabham-BRM,0.0
13,1964,0,Jack Brabham,Brabham-Climax,0.0
14,1964,0,Dan Gurney,Brabham-Climax,0.0
15,1964,0,Lorenzo Bandini,Ferrari,0.0
16,1964,0,Carel Godin de Beaufort,Porsche,0.0
17,1964,0,Tony Maggs,BRM,0.0
18,1964,1,Jim Clark,Lotus-Climax,9.0
19,1964,1,Bruce McLaren,Cooper-Climax,6.0
20,1964,1,Jack Brabham,Brabham-Climax,4.0
21,1964,1,Richie Ginther,BRM,3.0
22,1964,1,Graham Hill,BRM,2.0
23,1964,1,Dan Gurney,Brabham-Climax,1.0
24,1964,1,Trevor Taylor,BRP,0.0
25,1964,1,Giancarlo Baghetti,BRM,0.0
26,1964,1,Peter Arundell,Lotus-Climax,0.0
27,1964,1,Innes Ireland,BRP,0.0
28,1964,1,Peter Revson,Lotus-Climax,0.0
29,1964,1,Jo Siffert,Brabham-Climax,0.0
30,1964,1,Phil Hill,Cooper-Climax,0.0
31,1964,1,Lorenzo Bandini,Ferrari,0.0
32,1964,1,André Pilette,Scirocco,0.0
33,1964,1,Jo Bonnier,Brabham-Climax,0.0
34,1964,1,John Surtees,Ferrari,0.0
35,1964,1,Chris Amon,Lotus-BRM,0.0
36,1964,2,Dan Gurney,Brabham-Climax,9.0
37,1964,2,Graham Hill,BRM,6.0
38,1964,2,Jack Brabham,Brabham-Climax,4.0
39,1964,2,Peter Arundell,Lotus-Climax,3.0
40,1964,2,Richie Ginther,BRM,2.0
41,1964,2,Bruce McLaren,Cooper-Climax,1.0
42,1964,2,Phil Hill,Cooper-Climax,0.0
43,1964,2,Mike Hailwood,Lotus-BRM,0.0
44,1964,2,Lorenzo Bandini,Ferrari,0.0
45,1964,2,Chris Amon,Lotus-BRM,0.0
46,1964,2,Maurice Trintignant,BRM,0.0
47,1964,2,Bob Anderson,Brabham-Climax,0.0
48,1964,2,Innes Ireland,BRP,0.0
49,1964,2,Jim Clark,Lotus-Climax,0.0
50,1964,2,John Surtees,Ferrari,0.0
51,1964,2,Trevor Taylor,BRP,0.0
52,1964,2,Jo Siffert,Brabham-BRM,0.0
53,1964,3,Jim Clark,Lotus-Climax,9.0
54,1964,3,Graham Hill,BRM,6.0
55,1964,3,John Surtees,Ferrari,4.0
56,1964,3,Jack Brabham,Brabham-Climax,3.0
57,1964,3,Lorenzo Bandini,Ferrari,2.0
58,1964,3,Phil Hill,Cooper-Climax,1.0
59,1964,3,Bob Anderson,Brabham-Climax,0.0
60,1964,3,Richie Ginther,BRM,0.0
61,1964,3,Mike Spence,Lotus-Climax,0.0
62,1964,3,Innes Ireland,BRP,0.0
63,1964,3,Jo Siffert,Brabham-BRM,0.0
64,1964,3,Giancarlo Baghetti,BRM,0.0
65,1964,3,Dan Gurney,Brabham-Climax,0.0
66,1964,3,John Taylor,Cooper-Climax,0.0
67,1964,3,Jo Bonnier,Brabham-BRM,0.0
68,1964,3,Peter Revson,Lotus-BRM,0.0
69,1964,3,Tony Maggs,BRM,0.0
70,1964,3,Ian Raby,Brabham-BRM,0.0
71,1964,3,Trevor Taylor,Lotus-BRM,0.0
72,1964,3,Mike Hailwood,Lotus-BRM,0.0
73,1964,3,Chris Amon,Lotus-BRM,0.0
74,1964,3,Bruce McLaren,Cooper-Climax,0.0
75,1964,3,Frank Gardner,Brabham-Ford,0.0
76,1964,3,Maurice Trintignant,BRM,0.0
77,1964,3,Richard Attwood,BRM,0.0
78,1964,4,John Surtees,Ferrari,9.0
79,1964,4,Graham Hill,BRM,6.0
80,1964,4,Lorenzo Bandini,Ferrari,4.0
81,1964,4,Jo Siffert,Brabham-BRM,3.0
82,1964,4,Maurice Trintignant,BRM,2.0
83,1964,4,Tony Maggs,BRM,1.0
84,1964,4,Richie Ginther,BRM,0.0
85,1964,4,Mike Spence,Lotus-Climax,0.0
86,1964,4,Gerhard Mitter,Lotus-Climax,0.0
87,1964,4,Dan Gurney,Brabham-Climax,0.0
88,1964,4,Chris Amon,Lotus-BRM,0.0
89,1964,4,Jack Brabham,Brabham-Climax,0.0
90,1964,4,Ronnie Bucknum,Honda,0.0
91,1964,4,Peter Revson,Lotus-BRM,0.0
92,1964,4,Jim Clark,Lotus-Climax,0.0
93,1964,4,Bruce McLaren,Cooper-Climax,0.0
94,1964,4,Bob Anderson,Brabham-Climax,0.0
95,1964,4,Edgar Barth,Cooper-Climax,0.0
96,1964,4,Giancarlo Baghetti,BRM,0.0
97,1964,4,Phil Hill,Cooper-Climax,0.0
98,1964,4,Jo Bonnier,Brabham-BRM,0.0
99,1964,4,Mike Hailwood,Lotus-BRM,0.0
100,1964,4,André Pilette,Scirocco,0.0
101,1964,5,Lorenzo Bandini,Ferrari,9.0
102,1964,5,Richie Ginther,BRM,6.0
103,1964,5,Bob Anderson,Brabham-Climax,4.0
104,1964,5,Tony Maggs,BRM,3.0
105,1964,5,Innes Ireland,BRP,2.0
106,1964,5,Jo Bonnier,Brabham-Climax,1.0
107,1964,5,Giancarlo Baghetti,BRM,0.0
108,1964,5,Mike Hailwood,Lotus-BRM,0.0
109,1964,5,Jack Brabham,Brabham-Climax,0.0
110,1964,5,Jochen Rindt,Brabham-BRM,0.0
111,1964,5,Phil Hill,Cooper-Climax,0.0
112,1964,5,Dan Gurney,Brabham-Climax,0.0
113,1964,5,Bruce McLaren,Cooper-Climax,0.0
114,1964,5,Mike Spence,Lotus-Climax,0.0
115,1964,5,Jim Clark,Lotus-Climax,0.0
116,1964,5,Trevor Taylor,BRP,0.0
