,Year,GP,Driver,Team,Points
0,1967,0,Denny Hulme,Brabham-Repco,9.0
1,1967,0,Graham Hill,Lotus-BRM,6.0
2,1967,0,Chris Amon,Ferrari,4.0
3,1967,0,Bruce McLaren,McLaren-BRM,3.0
4,1967,0,Pedro Rodríguez,Cooper-Maserati,2.0
5,1967,0,Mike Spence,BRM,1.0
6,1967,0,Lorenzo Bandini,Ferrari,0.0
7,1967,0,Piers Courage,BRM,0.0
8,1967,0,Jim Clark,Lotus-Climax,0.0
9,1967,0,John Surtees,Honda,0.0
10,1967,0,Jo Siffert,Cooper-Maserati,0.0
11,1967,0,Jackie Stewart,BRM,0.0
12,1967,0,Jochen Rindt,Cooper-Maserati,0.0
13,1967,0,Dan Gurney,Eagle-Weslake,0.0
14,1967,0,Johnny Servoz-Gavin,Matra,0.0
15,1967,0,Jack Brabham,Brabham-Repco,0.0
16,1967,0,Bob Anderson,Brabham-Climax,0.0
17,1967,0,Jean-Pierre Beltoise,Matra,0.0
18,1967,0,Richie Ginther,Eagle-Climax,0.0
19,1967,1,Jim Clark,Lotus-Ford,9.0
20,1967,1,Jack Brabham,Brabham-Repco,6.0
21,1967,1,Denny Hulme,Brabham-Repco,4.0
22,1967,1,Chris Amon,Ferrari,3.0
23,1967,1,Mike Parkes,Ferrari,2.0
24,1967,1,Ludovico Scarfiotti,Ferrari,1.0
25,1967,1,Chris Irwin,Lotus-BRM,0.0
26,1967,1,Mike Spence,BRM,0.0
27,1967,1,Bob Anderson,Brabham-Climax,0.0
28,1967,1,Jo Siffert,Cooper-Maserati,0.0
29,1967,1,John Surtees,Honda,0.0
30,1967,1,Jackie Stewart,BRM,0.0
31,1967,1,Jochen Rindt,Cooper-Maserati,0.0
32,1967,1,Pedro Rodríguez,Cooper-Maserati,0.0
33,1967,1,Graham Hill,Lotus-Ford,0.0
34,1967,1,Dan Gurney,Eagle-Weslake,0.0
35,1967,1,Bruce McLaren,McLaren-BRM,0.0
36,1967,2,Dan Gurney,Eagle-Weslake,9.0
37,1967,2,Jackie Stewart,BRM,6.0
38,1967,2,Chris Amon,Ferrari,4.0
39,1967,2,Jochen Rindt,Cooper-Maserati,3.0
40,1967,2,Mike Spence,BRM,2.0
41,1967,2,Jim Clark,Lotus-Ford,1.0
42,1967,2,Jo Siffert,Cooper-Maserati,0.0
43,1967,2,Bob Anderson,Brabham-Climax,0.0
44,1967,2,Pedro Rodríguez,Cooper-Maserati,0.0
45,1967,2,Guy Ligier,Cooper-Maserati,0.0
46,1967,2,Ludovico Scarfiotti,Ferrari,0.0
47,1967,2,Jack Brabham,Brabham-Repco,0.0
48,1967,2,Denny Hulme,Brabham-Repco,0.0
49,1967,2,Jo Bonnier,Cooper-Maserati,0.0
50,1967,2,Graham Hill,Lotus-Ford,0.0
51,1967,2,John Surtees,Honda,0.0
52,1967,2,Chris Irwin,BRM,0.0
53,1967,2,Mike Parkes,Ferrari,0.0
54,1967,3,Jack Brabham,Brabham-Repco,9.0
55,1967,3,Denny Hulme,Brabham-Repco,6.0
56,1967,3,Jackie Stewart,BRM,4.0
